graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat,n_features_target,k_features_target
50,H,0,gnnexplainer,0.5,match_ig_baseline,scientific,-0.18866461515426636,-0.07681480795145035,-0.2438923716545105,-0.18572446703910828,0.002940148115158081,0.10890965908765793,0.05816790461540222,0.11184980720281601,0.05522775650024414,0.10596951097249985,0.05522775650024414,498,256,0.48594377510040165,33,17
50,H,0,integrated_gradients,0.5,match_ig_baseline,scientific,-0.18866461515426636,-0.08215956389904022,-0.1874551773071289,-0.18572446703910828,0.002940148115158081,0.10356490314006805,0.0017307102680206299,0.10650505125522614,0.0012094378471374512,0.10062475502490997,-0.0012094378471374512,498,256,0.48594377510040165,33,17
50,H,1,gnnexplainer,0.5,match_ig_baseline,scientific,-0.19408667087554932,-0.0704888254404068,-0.23779809474945068,-0.1745053380727768,0.019581332802772522,0.10401651263237,0.06329275667667389,0.12359784543514252,0.04371142387390137,0.08443517982959747,0.04371142387390137,498,256,0.48594377510040165,33,17
50,H,1,integrated_gradients,0.5,match_ig_baseline,scientific,-0.19408667087554932,-0.09653899073600769,-0.18966463208198547,-0.1745053380727768,0.019581332802772522,0.0779663473367691,0.01515929400920868,0.09754768013954163,0.004422038793563843,0.05838501453399658,-0.004422038793563843,498,256,0.48594377510040165,33,17
50,H,2,gnnexplainer,0.5,match_ig_baseline,scientific,-0.13721123337745667,-0.032914899289608,-0.17924261093139648,-0.1240059956908226,0.013205237686634064,0.0910910964012146,0.05523661524057388,0.10429633408784866,0.04203137755393982,0.07788585871458054,0.04203137755393982,498,256,0.48594377510040165,33,17
50,H,2,integrated_gradients,0.5,match_ig_baseline,scientific,-0.13721123337745667,-0.08421914279460907,-0.1368231475353241,-0.1240059956908226,0.013205237686634064,0.03978685289621353,0.012817151844501495,0.052992090582847595,0.00038808584213256836,0.026581615209579468,-0.00038808584213256836,498,256,0.48594377510040165,33,17
50,H,3,gnnexplainer,0.5,match_ig_baseline,scientific,-0.06269896030426025,-0.16332247853279114,-0.014333683997392654,-0.029461706057190895,0.03323725424706936,0.13386077247560024,0.01512802205979824,0.10062351822853088,0.0483652763068676,0.10062351822853088,-0.018109232187271118,498,256,0.48594377510040165,33,17
50,H,3,integrated_gradients,0.5,match_ig_baseline,scientific,-0.06269896030426025,-0.08694406598806381,-0.06234076991677284,-0.029461706057190895,0.03323725424706936,0.05748235993087292,0.03287906385958195,0.02424510568380356,0.0003581903874874115,0.02424510568380356,-0.0003581903874874115,498,256,0.48594377510040165,33,17
50,H,4,gnnexplainer,0.5,match_ig_baseline,scientific,-0.05592544749379158,-0.03720898926258087,-0.1222708597779274,-0.08866342157125473,0.03273797407746315,0.05145443230867386,0.03360743820667267,0.01871645823121071,0.06634541228413582,0.01871645823121071,0.0008694641292095184,498,256,0.48594377510040165,33,17
50,H,4,integrated_gradients,0.5,match_ig_baseline,scientific,-0.05592544749379158,-0.08694406598806381,-0.05533821880817413,-0.08866342157125473,0.03273797407746315,0.001719355583190918,0.0333252027630806,0.031018618494272232,0.0005872286856174469,-0.031018618494272232,0.0005872286856174469,498,256,0.48594377510040165,33,17
50,H,5,gnnexplainer,0.5,match_ig_baseline,scientific,-0.08462868630886078,-0.10750317573547363,-0.04907851666212082,-0.06410186737775803,0.020526818931102753,0.04340130835771561,0.015023350715637207,0.022874489426612854,0.03555016964673996,0.022874489426612854,-0.005503468215465546,498,256,0.48594377510040165,33,17
50,H,5,integrated_gradients,0.5,match_ig_baseline,scientific,-0.08462868630886078,-0.09104163199663162,-0.08389919996261597,-0.06410186737775803,0.020526818931102753,0.026939764618873596,0.01979733258485794,0.0064129456877708435,0.000729486346244812,0.0064129456877708435,-0.000729486346244812,498,256,0.48594377510040165,33,17
50,H,6,gnnexplainer,0.5,match_ig_baseline,scientific,-0.33054494857788086,-0.0684264600276947,-0.47798416018486023,-0.3011716902256012,0.029373258352279663,0.2327452301979065,0.17681246995925903,0.26211848855018616,0.14743921160697937,0.20337197184562683,0.14743921160697937,498,256,0.48594377510040165,33,17
