Modell,Min,Max,Mittelwert,Median,Std
GNNExplainer,0.625149,1.084675,0.766092,0.764079,0.140589
Integrated Gradients,0.57092,0.925066,0.727638,0.71072,0.11718
Ablation Study,0.567314,0.954613,0.724776,0.72402,0.115807
Full Feature Set,0.4203,1.1736,0.656132,0.6364,0.124928
