Modell,Min,Max,Mittelwert,Median,Std
GNNExplainer,0.478731,0.707559,0.548816,0.534566,0.062417
Integrated Gradients,0.457394,0.69426,0.531978,0.517275,0.061082
Ablation Study,0.039996,0.793143,0.513728,0.501148,0.152502
Random,0.043469,0.831936,0.57366,0.571749,0.175277
