method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,72,15,4.1774066636959715,2.917640579368283,72,1.6544614674316511,1.574088129482511,72,3.882790880070792,2.9370658159333702,72,1.0841390051775508,1.3420671034102263,72,0.4864370152363305,0.0006689077045488803,72
integrated_gradients,C,66,13,3.6877167211337523,2.6166235425322477,66,0.27206237997972604,0.29789118298140566,66,3.3075328455729918,2.7247673765763096,66,0.08063284939888751,0.3855653088235178,66,0.4863907365060152,0.0006733415284356706,66
gnnexplainer,H,129,15,0.09785727391293807,0.06493600840234677,129,0.04630777118510978,0.037033606912131485,129,0.08629876017108444,0.06480970802273645,129,0.009949992876499891,0.04409848996685393,129,0.4863434522644598,0.0005949606123970052,129
integrated_gradients,H,115,13,0.056548206087039865,0.055561086637646556,115,0.011291419909052226,0.008336073428612954,115,0.039298591795174975,0.05969204931353468,115,0.0024334982685420823,0.012148454344440555,115,0.48628104752388013,0.000591683511978254,115
