method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,66,13,4.194290633002917,2.9674180138234822,66,1.735066990734953,1.611262369084814,66,3.8855210547194337,2.9806422821801606,66,1.1660523236249432,1.350554225128122,66,0.4863907365060152,0.0006733415284356706,66
integrated_gradients,C,66,13,3.6877167211337523,2.6166235425322477,66,0.27206237997972604,0.29789118298140566,66,3.3075328455729918,2.7247673765763096,66,0.08063284939888751,0.3855653088235178,66,0.4863907365060152,0.0006733415284356706,66
gnnexplainer,H,115,13,0.09900837880761727,0.06633641569769166,115,0.04795596324231314,0.03753964652791388,115,0.08882549411576728,0.06564262321812568,115,0.012073258986777585,0.045001515135757245,115,0.48628104752388013,0.000591683511978254,115
integrated_gradients,H,115,13,0.056548206087039865,0.055561086637646556,115,0.011291419909052226,0.008336073428612954,115,0.039298591795174975,0.05969204931353468,115,0.0024334982685420823,0.012148454344440555,115,0.48628104752388013,0.000591683511978254,115
