graph_idx,node_type,node_idx,method,sparsity_target,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_edges_considered,k_edges,actual_sparsity_edge
50,H,0,gnnexplainer,0.8,-0.18866461515426636,-0.060435641556978226,-0.21355047821998596,-0.18572446703910828,0.002940148115158081,0.12528882548213005,0.027826011180877686,0.12822897359728813,0.024885863065719604,0.12234867736697197,0.024885863065719604,30,6,0.8
50,H,1,gnnexplainer,0.8,-0.19408667087554932,-0.08131986856460571,-0.1760149747133255,-0.1745053380727768,0.019581332802772522,0.09318546950817108,0.001509636640548706,0.1127668023109436,0.018071696162223816,0.07360413670539856,-0.018071696162223816,30,6,0.8
50,H,2,gnnexplainer,0.8,-0.13721123337745667,-0.15229061245918274,-0.1134396344423294,-0.1240059956908226,0.013205237686634064,0.028284616768360138,0.010566361248493195,0.015079379081726074,0.02377159893512726,0.015079379081726074,-0.002638876438140869,30,6,0.8
50,H,3,gnnexplainer,0.8,-0.06269896030426025,-0.09327174723148346,-0.0825548991560936,-0.029461706057190895,0.03323725424706936,0.06381004117429256,0.0530931930989027,0.030572786927223206,0.019855938851833344,0.030572786927223206,0.019855938851833344,30,6,0.8
50,H,4,gnnexplainer,0.8,-0.05592544749379158,-0.05020845681428909,-0.0790947750210762,-0.08866342157125473,0.03273797407746315,0.03845496475696564,0.009568646550178528,0.005716990679502487,0.023169327527284622,0.005716990679502487,-0.023169327527284622,30,6,0.8
50,H,5,gnnexplainer,0.8,-0.08462868630886078,-0.044925324618816376,-0.1036156564950943,-0.06410186737775803,0.020526818931102753,0.01917654275894165,0.03951378911733627,0.0397033616900444,0.01898697018623352,-0.0013502761721611023,0.01898697018623352,30,6,0.8
50,H,6,gnnexplainer,0.8,-0.33054494857788086,-0.13692009449005127,-0.30467337369918823,-0.3011716902256012,0.029373258352279663,0.16425159573554993,0.003501683473587036,0.1936248540878296,0.025871574878692627,0.13487833738327026,-0.025871574878692627,30,6,0.8
50,H,7,gnnexplainer,0.8,-0.3257949948310852,-0.14478428661823273,-0.2953581213951111,-0.362988144159317,0.03719314932823181,0.2182038575410843,0.06763002276420593,0.18101070821285248,0.03043687343597412,0.18101070821285248,0.03043687343597412,30,6,0.8
50,C,0,gnnexplainer,0.8,-3.4731967449188232,-1.0082504749298096,-3.758025646209717,-3.638505220413208,0.16530847549438477,2.6302547454833984,0.11952042579650879,2.4649462699890137,0.28482890129089355,2.4649462699890137,-0.04578804969787598,30,6,0.8
50,C,1,gnnexplainer,0.8,-2.626781463623047,-2.5563862323760986,-1.3750569820404053,-2.7032065391540527,0.07642507553100586,0.1468203067779541,1.3281495571136475,0.07039523124694824,1.2517244815826416,0.07039523124694824,1.2517244815826416,30,6,0.8
50,C,2,gnnexplainer,0.8,-2.6187326908111572,-1.4208884239196777,-3.9086854457855225,-3.0836172103881836,0.46488451957702637,1.6627287864685059,0.8250682353973389,1.1978442668914795,1.2899527549743652,1.1978442668914795,0.3601837158203125,30,6,0.8
50,C,3,gnnexplainer,0.8,-12.352452278137207,-9.268301963806152,-8.506016731262207,-11.829119682312012,0.5233325958251953,2.5608177185058594,3.3231029510498047,3.0841503143310547,3.846435546875,2.037485122680664,2.7997703552246094,30,6,0.8
50,C,4,gnnexplainer,0.8,-12.56570053100586,-12.1943359375,-8.568485260009766,-12.671215057373047,0.1055145263671875,0.4768791198730469,4.102729797363281,0.3713645935058594,3.9972152709960938,0.3713645935058594,3.9972152709960938,30,6,0.8
50,C,5,gnnexplainer,0.8,-1.2540905475616455,-1.6912614107131958,-1.5109435319900513,-1.9315294027328491,0.6774388551712036,0.24026799201965332,0.42058587074279785,0.4371708631515503,0.25685298442840576,-0.4371708631515503,-0.25685298442840576,30,6,0.8
170,H,0,gnnexplainer,0.8,-0.08065252006053925,-0.10348349809646606,-0.09429272264242172,-0.026961499825119972,0.05369102023541927,0.07652199827134609,0.06733122281730175,0.02283097803592682,0.013640202581882477,0.02283097803592682,0.013640202581882477,42,9,0.7857142857142857
170,H,1,gnnexplainer,0.8,-0.08064423501491547,-0.10644356906414032,-0.08310983330011368,-0.027961499989032745,0.05268273502588272,0.07848206907510757,0.05514833331108093,0.025799334049224854,0.0024655982851982117,0.025799334049224854,0.0024655982851982117,42,9,0.7857142857142857
170,H,2,gnnexplainer,0.8,-0.08063553273677826,-0.09838540852069855,-0.09005972743034363,-0.027961499989032745,0.052674032747745514,0.0704239085316658,0.06209822744131088,0.017749875783920288,0.009424194693565369,0.017749875783920288,0.009424194693565369,42,9,0.7857142857142857
170,H,3,gnnexplainer,0.8,-0.08062697947025299,-0.1009596511721611,-0.08981903642416,-0.026961499825119972,0.05366547964513302,0.07399815134704113,0.06285753659904003,0.02033267170190811,0.009192056953907013,0.02033267170190811,0.009192056953907013,42,9,0.7857142857142857
170,H,4,gnnexplainer,0.8,-0.07791470736265182,-0.10624706000089645,-0.07920544594526291,-0.027961499989032745,0.04995320737361908,0.07828556001186371,0.051243945956230164,0.02833235263824463,0.001290738582611084,0.02833235263824463,0.001290738582611084,42,9,0.7857142857142857
170,H,5,gnnexplainer,0.8,-0.07790467888116837,-0.1022120788693428,-0.06141318008303642,-0.026961499825119972,0.05094317905604839,0.07525057904422283,0.03445168025791645,0.02430739998817444,0.016491498798131943,0.02430739998817444,-0.016491498798131943,42,9,0.7857142857142857
170,H,6,gnnexplainer,0.8,-0.07790350168943405,-0.09853619337081909,-0.06620918214321136,-0.026961499825119972,0.05094200186431408,0.07157469354569912,0.03924768231809139,0.02063269168138504,0.011694319546222687,0.02063269168138504,-0.011694319546222687,42,9,0.7857142857142857
170,H,7,gnnexplainer,0.8,-0.07790827751159668,-0.10642144083976746,-0.08457694947719574,-0.02896150015294552,0.04894677735865116,0.07745994068682194,0.05561544932425022,0.028513163328170776,0.00666867196559906,0.028513163328170776,0.00666867196559906,42,9,0.7857142857142857
170,H,8,gnnexplainer,0.8,-0.07964935898780823,-0.10209046304225922,-0.09214979410171509,-0.02691764011979103,0.0527317188680172,0.07517282292246819,0.06523215398192406,0.02244110405445099,0.01250043511390686,0.02244110405445099,0.01250043511390686,42,9,0.7857142857142857
170,H,9,gnnexplainer,0.8,-0.0796414166688919,-0.10223912447690964,-0.07768575847148895,-0.025917639955878258,0.05372377671301365,0.07632148452103138,0.051768118515610695,0.02259770780801773,0.001955658197402954,0.02259770780801773,-0.001955658197402954,42,9,0.7857142857142857
170,H,10,gnnexplainer,0.8,-0.07964157313108444,-0.10073438286781311,-0.08022709935903549,-0.025917639955878258,0.053723933175206184,0.07481674291193485,0.054309459403157234,0.021092809736728668,0.0005855262279510498,0.021092809736728668,0.0005855262279510498,42,9,0.7857142857142857
