stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.1,0.1,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010910091231015833,0.01275443564021481,0.01183226343561532
A,0.001,0.0001,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010883937338743295,0.012927785397339318,0.011905861368041306
A,0.001,0.0001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.00010336085201870583,0.023776404196099277,0.011939882524058991
A,0.001,1e-05,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010875359057926722,0.013181272543150005,0.012028315800538363
A,0.001,1e-06,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010874654470860372,0.013203092484133495,0.012038873477496933
A,0.001,1e-05,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.00010354100059626,0.02401327833437925,0.012058409667487755
A,0.001,1e-06,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.000103418644748801,0.024043520900629146,0.012073469772688973
A,0.01,0.01,1e-12,1e-12,0.01,150,620,H,2,-0.2488207370042801,5,0.025050415586563058,0.00032251585600377556,0.012686465721283418
A,0.01,0.01,1e-12,1e-12,0.01,150,640,H,4,-0.03988323733210564,5,0.015368241687445406,0.010300732116450426,0.012834486901947915
A,0.1,0.1,1e-12,1e-12,0.01,150,640,H,4,-0.03988323733210564,5,0.015361466820357116,0.010347829340694946,0.01285464808052603
A,0.01,0.001,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010864413636797791,0.014910018617538288,0.01288721612716804
A,0.01,1e-06,1e-12,1e-12,0.01,150,620,H,2,-0.2488207370042801,5,0.025528130869962997,0.00040317683199930337,0.01296565385098115
A,0.01,1e-05,1e-12,1e-12,0.01,150,620,H,2,-0.2488207370042801,5,0.025527010381231122,0.00040513346384287276,0.012966071922536997
A,0.01,0.0001,1e-12,1e-12,0.01,150,620,H,2,-0.2488207370042801,5,0.025520649901695752,0.000418006202133796,0.012969328051914773
A,0.01,0.001,1e-12,1e-12,0.01,150,620,H,2,-0.2488207370042801,5,0.025450932452046937,0.0005075583742427624,0.01297924541314485
A,0.1,0.01,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010861983287846917,0.015099673622646703,0.012980828455246809
A,0.01,0.0001,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.01085987635282347,0.015164123575093686,0.013011999963958578
A,0.01,1e-05,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010858951860111937,0.015189645243951945,0.013024298552031941
A,0.01,1e-06,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010858919347291414,0.015192227471565962,0.013025573409428687
A,0.1,0.001,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010857616340215148,0.015353053968827288,0.013105335154521218
A,0.1,0.0001,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.010857207074687826,0.015378563427030699,0.013117885250859263
