method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,2,1,1.8558995723724365,1.5689070224761963,2,3.510840058326721,1.5632113218307495,2,1.3325669765472412,1.045574426651001,2,2.822198987007141,1.205187201499939,2,0.8974358974358975,0.0,2
integrated_gradients,C,2,1,4.22645890712738,2.224648118019104,2,0.423542857170105,0.3253699541091919,2,3.5378178358078003,1.8666239976882935,2,-0.09978973865509033,0.19796264171600342,2,0.8974358974358975,0.0,2
gnnexplainer,H,2,1,0.046748846769332886,0.03304991126060486,2,0.09789445996284485,0.0038897693157196045,2,0.046748846769332886,0.03304991126060486,2,0.031328052282333374,0.003930121660232544,2,0.8787878787878788,0.0,2
integrated_gradients,H,2,1,0.038442060351371765,0.02704121172428131,2,0.01806473731994629,0.003179192543029785,2,0.009068801999092102,0.002332046627998352,2,0.003179192543029785,0.01806473731994629,2,0.8787878787878788,0.0,2
