graph_idx, node_type, node_idx, method              , sparsity_target, mask_baseline_mode, ig_baseline_mode, pred_orig           , pred_drop            , pred_keep            , target               , error_orig            , error_drop            , error_keep           , fid_plus_model        , fid_minus_model       , fid_plus_error_delta   , fid_minus_error_delta , n_features, k_features, actual_sparsity_feat
       50, H        ,        0, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.18866461515426636, -0.18257810175418854 , -0.1939178705215454  , -0.18572446703910828 , 0.002940148115158081  ,  0.0031463652849197388, 0.008193403482437134 , 0.00608651340007782   , 0.005253255367279053  , 0.00020621716976165771 , 0.005253255367279053  ,         33,          4,   0.8787878787878788
       50, H        ,        0, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.18866461515426636, -0.1888628900051117  , -0.18746206164360046 , -0.18572446703910828 , 0.002940148115158081  ,  0.003138422966003418 , 0.0017375946044921875, 0.00019827485084533691, 0.0012025535106658936 , 0.00019827485084533691 , -0.0012025535106658936,         33,          4,   0.8787878787878788
       50, H        ,        1, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.19408667087554932, -0.1689087450504303  , -0.1820591390132904  , -0.1745053380727768  , 0.019581332802772522  ,  0.005596593022346497 , 0.007553800940513611 , 0.02517792582511902   , 0.012027531862258911  , -0.013984739780426025  , -0.012027531862258911 ,         33,          4,   0.8787878787878788
       50, H        ,        1, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.19408667087554932, -0.18720051646232605 , -0.188992440700531   , -0.1745053380727768  , 0.019581332802772522  ,  0.012695178389549255 , 0.014487102627754211 , 0.006886154413223267  , 0.0050942301750183105 , -0.006886154413223267  , -0.0050942301750183105,         33,          4,   0.8787878787878788
       50, H        ,        2, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.13721123337745667, -0.16224709153175354 , -0.1380159854888916  , -0.1240059956908226  , 0.013205237686634064  ,  0.03824109584093094  , 0.014009989798069    , 0.025035858154296875  , 0.0008047521114349365 , 0.025035858154296875   , 0.0008047521114349365 ,         33,          4,   0.8787878787878788
       50, H        ,        2, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.13721123337745667, -0.14136649668216705 , -0.13383722305297852 , -0.1240059956908226  , 0.013205237686634064  ,  0.017360500991344452 , 0.009831227362155914 , 0.004155263304710388  , 0.0033740103244781494 , 0.004155263304710388   , -0.0033740103244781494,         33,          4,   0.8787878787878788
       50, H        ,        3, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.06269896030426025, -0.04677493870258331 , -0.07962626963853836 , -0.029461706057190895, 0.03323725424706936   ,  0.017313232645392418 , 0.050164563581347466 , 0.01592402160167694   , 0.016927309334278107  , -0.01592402160167694   , 0.016927309334278107  ,         33,          4,   0.8787878787878788
       50, H        ,        3, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.06269896030426025, -0.0847470685839653  , -0.06743931770324707 , -0.029461706057190895, 0.03323725424706936   ,  0.055285362526774406 , 0.037977611646056175 , 0.022048108279705048  , 0.004740357398986816  , 0.022048108279705048   , 0.004740357398986816  ,         33,          4,   0.8787878787878788
       50, H        ,        4, gnnexplainer        ,             0.9, match_ig_baseline , scientific      , -0.05592544749379158, -0.07680097222328186 , -0.07645370066165924 , -0.08866342157125473 , 0.03273797407746315   ,  0.01186244934797287  , 0.01220972090959549  , 0.02087552472949028   , 0.02052825316786766   , -0.02087552472949028   , -0.02052825316786766  ,         33,          4,   0.8787878787878788
       50, H        ,        4, integrated_gradients,             0.9, match_ig_baseline , scientific      , -0.05592544749379158, -0.07398952543735504 , -0.06670168787240982 , -0.08866342157125473 , 0.03273797407746315   ,  0.014673896133899689 , 0.02196173369884491  , 0.01806407794356346   , 0.01077624037861824   , -0.01806407794356346   , -0.01077624037861824  ,         33,          4,   0.8787878787878788
