method              , node_type, n_nodes, n_graphs, fid_plus_model_mean, fid_plus_model_std  , fid_plus_model_count, fid_minus_model_mean, fid_minus_model_std , fid_minus_model_count, fid_plus_error_delta_mean, fid_plus_error_delta_std, fid_plus_error_delta_count, fid_minus_error_delta_mean, fid_minus_error_delta_std, fid_minus_error_delta_count, actual_sparsity_feat_mean, actual_sparsity_feat_std, actual_sparsity_feat_count
gnnexplainer        , C        ,     394,       94, 1.580805645981416  , 1.365366685233303   ,                  394, 1.558698667790079   , 2.2741901855303026  ,                   394,      1.2911882117475728  ,     1.4236485161989685  ,                        394,      1.1968216040564068   ,      2.222309162512295   ,                         394,        0.8974358974358976, 8.881784197001252e-16   ,                        394
integrated_gradients, C        ,     394,       94, 2.403815224123788  , 2.4693930337566234  ,                  394, 0.5636895405421705  , 0.7182743537485213  ,                   394,      2.068957750742243   ,     2.476536613373193   ,                        394,      0.26314142613014596  ,      0.7117542547821227  ,                         394,        0.8974358974358976, 8.881784197001252e-16   ,                        394
gnnexplainer        , H        ,     672,       94, 0.01716033581622122, 0.017859291358878714,                  672, 0.019157656651389385, 0.01751873434361587 ,                   672,      0.009747893122645715,     0.020704339253636184,                        672,      0.008673026966529765 ,      0.02112764366831356 ,                         672,        0.8787878787878787, 3.1086244689504383e-15  ,                        672
integrated_gradients, H        ,     713,       94, 0.02407630492226439, 0.02344672866377648 ,                  713, 0.005828169831512352, 0.006897604144760614,                   713,      0.014907417433624644,     0.026491913059874892,                        672,      0.0015500362164207868,      0.008408780569257849,                         672,        0.8787878787878787, 3.1086244689504383e-15  ,                        713
