graph_idx, node_type, node_idx, method      , sparsity_target, pred_orig              , pred_drop             , pred_keep             , target                 , error_orig            , error_drop            , error_keep           , fid_plus_model        , fid_minus_model       , fid_plus_error_delta   , fid_minus_error_delta  , n_incident_edges, k_incident_edges, actual_sparsity_edge
        0, H        ,        0, gnnexplainer,             0.9, -0.17736566066741943   , -0.1930956244468689   , -0.0197460800409317   , -0.17985659837722778   , 0.0024909377098083496 , 0.013239026069641113  , 0.16011051833629608  , 0.015729963779449463  , 0.15761958062648773   , 0.010748088359832764   , 0.15761958062648773    ,                2,                1,   0.5
        0, H        ,        1, gnnexplainer,             0.9, -0.14692381024360657   , -0.15315589308738708  , -0.044371068477630615 , -0.14272424578666687   , 0.004199564456939697  , 0.010431647300720215  , 0.09835317730903625  , 0.006232082843780518  , 0.10255274176597595   , 0.006232082843780518   , 0.09415361285209656    ,                2,                1,   0.5
        0, H        ,        2, gnnexplainer,             0.9, -0.17736902832984924   , -0.051046669483184814 , -0.1767091155052185   , -0.18340036273002625   , 0.006031334400177002  , 0.13235369324684143   , 0.006691247224807739 , 0.12632235884666443   , 0.0006599128246307373 , 0.12632235884666443    , 0.0006599128246307373  ,                2,                1,   0.5
        0, H        ,        3, gnnexplainer,             0.9, -0.5146532654762268    , -0.6039762496948242   , -0.15245717763900757  , -0.5416102409362793    , 0.02695697546005249   , 0.06236600875854492   , 0.38915306329727173  , 0.08932298421859741   , 0.36219608783721924   , 0.03540903329849243    , 0.36219608783721924    ,                2,                1,   0.5
        0, H        ,        4, gnnexplainer,             0.9, -0.28085559606552124   , -0.27338820695877075  , -0.13233022391796112  , -0.29296109080314636   , 0.012105494737625122  , 0.01957288384437561   , 0.16063086688518524  , 0.007467389106750488  , 0.14852537214756012   , 0.007467389106750488   , 0.14852537214756012    ,                2,                1,   0.5
        0, H        ,        5, gnnexplainer,             0.9, -0.3452540338039398    , -0.14860862493515015  , -0.2898692786693573   , -0.3744361400604248    , 0.029182106256484985  , 0.22582751512527466   , 0.0845668613910675   , 0.19664540886878967   , 0.05538475513458252   , 0.19664540886878967    , 0.05538475513458252    ,                2,                1,   0.5
        0, C        ,        0, gnnexplainer,             0.9, -2.104891777038574     , -2.3166990280151367   , -1.5883992910385132   , -2.1809728145599365    , 0.0760810375213623    , 0.1357262134552002    , 0.5925735235214233   , 0.2118072509765625    , 0.516492486000061     , 0.05964517593383789    , 0.516492486000061      ,                8,                1,   0.875
        0, C        ,        1, gnnexplainer,             0.9, -17.136962890625       , -17.673110961914062   , -9.44556713104248     , -16.9322566986084      , 0.20470619201660156   , 0.7408542633056641    , 7.486689567565918    , 0.5361480712890625    , 7.6913957595825195    , 0.5361480712890625     , 7.281983375549316      ,                6,                1,   0.8333333333333334
        0, C        ,        2, gnnexplainer,             0.9, -8.5090970993042       , -7.064982891082764    , -5.7514262199401855   , -8.388336181640625     , 0.12076091766357422   , 1.3233532905578613    , 2.6369099617004395   , 1.4441142082214355    , 2.7576708793640137    , 1.202592372894287      , 2.5161490440368652     ,                6,                1,   0.8333333333333334
        0, C        ,        3, gnnexplainer,             0.9, -6.361694812774658     , -4.925405025482178    , -4.535048961639404    , -6.655499458312988     , 0.2938046455383301    , 1.7300944328308105    , 2.120450496673584    , 1.4362897872924805    , 1.826645851135254     , 1.4362897872924805     , 1.826645851135254      ,                4,                1,   0.75
        0, C        ,        4, gnnexplainer,             0.9, -12.114175796508789    , -12.661050796508789   , -8.435807228088379    , -12.745342254638672    , 0.6311664581298828    , 0.08429145812988281   , 4.309535026550293    , 0.546875              , 3.67836856842041      , -0.546875              , 3.67836856842041       ,                4,                1,   0.75
       10, H        ,        0, gnnexplainer,             0.9, -0.05451575666666031   , -0.08065107464790344  , -0.061422597616910934 , -0.05126853287220001   , 0.0032472237944602966 , 0.02938254177570343   , 0.010154064744710922 , 0.026135317981243134  , 0.006906840950250626  , 0.026135317981243134   , 0.006906840950250626   ,                2,                1,   0.5
       10, H        ,        1, gnnexplainer,             0.9, -0.04886791482567787   , -0.059601329267024994 , -0.07603807747364044  , -0.046680811792612076  , 0.002187103033065796  , 0.012920517474412918  , 0.029357265681028366 , 0.010733414441347122  , 0.02717016264796257   , 0.010733414441347122   , 0.02717016264796257    ,                2,                1,   0.5
       10, H        ,        2, gnnexplainer,             0.9, -0.05451619252562523   , -0.06720522046089172  , -0.08551347255706787  , -0.05026853457093239   , 0.004247657954692841  , 0.016936685889959335  , 0.03524493798613548  , 0.012689027935266495  , 0.030997280031442642  , 0.012689027935266495   , 0.030997280031442642   ,                2,                1,   0.5
       10, H        ,        3, gnnexplainer,             0.9, -0.04886849597096443   , -0.060733623802661896 , -0.07342306524515152  , -0.046680811792612076  , 0.002187684178352356  , 0.01405281201004982   , 0.026742253452539444 , 0.011865127831697464  , 0.024554569274187088  , 0.011865127831697464   , 0.024554569274187088   ,                2,                1,   0.5
       10, H        ,        4, gnnexplainer,             0.9, -0.04886763170361519   , -0.0811288133263588   , -0.052433278411626816 , -0.04568081349134445   , 0.0031868182122707367 , 0.03544799983501434   , 0.006752464920282364 , 0.03226118162274361   , 0.003565646708011627  , 0.03226118162274361    , 0.003565646708011627   ,                2,                1,   0.5
       10, H        ,        5, gnnexplainer,             0.9, -0.0545157715678215    , -0.05616611987352371  , -0.09940379858016968  , -0.05026853457093239   , 0.004247236996889114  , 0.005897585302591324  , 0.04913526400923729  , 0.0016503483057022095 , 0.044888027012348175  , 0.0016503483057022095  , 0.044888027012348175   ,                2,                1,   0.5
       10, H        ,        6, gnnexplainer,             0.9, -0.05451630800962448   , -0.06654475629329681  , -0.0628504753112793   , -0.05026853457093239   , 0.004247773438692093  , 0.016276221722364426  , 0.012581940740346909 , 0.012028448283672333  , 0.008334167301654816  , 0.012028448283672333   , 0.008334167301654816   ,                2,                1,   0.5
       10, H        ,        7, gnnexplainer,             0.9, -0.04886893182992935   , -0.05397620052099228  , -0.061311956495046616 , -0.046680811792612076  , 0.002188120037317276  , 0.007295388728380203  , 0.01463114470243454  , 0.005107268691062927  , 0.012443024665117264  , 0.005107268691062927   , 0.012443024665117264   ,                2,                1,   0.5
       10, C        ,        0, gnnexplainer,             0.9, -0.5910308361053467    , -0.5006930828094482   , -2.2760846614837646   , -0.7767053842544556    , 0.1856745481491089    , 0.2760123014450073    , 1.499379277229309    , 0.09033775329589844   , 1.685053825378418     , 0.09033775329589844    , 1.3137047290802002     ,                8,                1,   0.875
       10, C        ,        1, gnnexplainer,             0.9, -0.5910441279411316    , -0.5212822556495667   , -2.6158838272094727   , -0.7707053422927856    , 0.17966121435165405   , 0.249423086643219     , 1.845178484916687    , 0.06976187229156494   , 2.024839699268341     , 0.06976187229156494    , 1.665517270565033      ,                8,                1,   0.875
       10, C        ,        2, gnnexplainer,             0.9, -0.5910332798957825    , -1.0359214544296265   , -2.0803704261779785   , -0.7707053422927856    , 0.17967206239700317   , 0.2652161121368408    , 1.3096650838851929   , 0.444888174533844     , 1.489337146282196     , 0.08554404973983765    , 1.1299930214881897     ,                8,                1,   0.875
       10, C        ,        3, gnnexplainer,             0.9, -0.5910433530807495    , -0.451977014541626    , -2.240225076675415    , -0.7736613750457764    , 0.18261802196502686   , 0.3216843605041504    , 1.4665637016296387   , 0.13906633853912354   , 1.6491817235946655    , 0.13906633853912354    , 1.2839456796646118     ,                8,                1,   0.875
       20, H        ,        0, gnnexplainer,             0.9, -0.2313065528869629    , -0.12682503461837769  , -0.21959024667739868  , -0.25103986263275146   , 0.019733309745788574  , 0.12421482801437378   , 0.03144961595535278  , 0.1044815182685852    , 0.011716306209564209  , 0.1044815182685852     , 0.011716306209564209   ,                2,                1,   0.5
       20, H        ,        1, gnnexplainer,             0.9, -0.23125052452087402   , -0.23370575904846191  , -0.12408134341239929  , -0.2520398497581482    , 0.02078932523727417   , 0.01833409070968628   , 0.1279585063457489   , 0.0024552345275878906 , 0.10716918110847473   , -0.0024552345275878906 , 0.10716918110847473    ,                2,                1,   0.5
       20, H        ,        2, gnnexplainer,             0.9, -0.2312517762184143    , -0.13702985644340515  , -0.20917755365371704  , -0.2520398497581482    , 0.020788073539733887  , 0.11500999331474304   , 0.04286229610443115  , 0.09422191977500916   , 0.022074222564697266  , 0.09422191977500916    , 0.022074222564697266   ,                2,                1,   0.5
       20, H        ,        3, gnnexplainer,             0.9, -0.23129862546920776   , -0.13097721338272095  , -0.21109303832054138  , -0.25103986263275146   , 0.0197412371635437    , 0.12006264925003052   , 0.03994682431221008  , 0.10032141208648682   , 0.020205587148666382  , 0.10032141208648682    , 0.020205587148666382   ,                2,                1,   0.5
       20, H        ,        4, gnnexplainer,             0.9, -0.2312755286693573    , -0.12253236025571823  , -0.19560569524765015  , -0.2520398497581482    , 0.020764321088790894  , 0.12950748950242996   , 0.05643415451049805  , 0.10874316841363907   , 0.03566983342170715   , 0.10874316841363907    , 0.03566983342170715    ,                2,                1,   0.5
       20, H        ,        5, gnnexplainer,             0.9, -0.23128050565719604   , -0.20350196957588196  , -0.13651002943515778  , -0.2520398497581482    , 0.02075934410095215   , 0.048537880182266235  , 0.11552982032299042  , 0.027778536081314087  , 0.09477047622203827   , 0.027778536081314087   , 0.09477047622203827    ,                2,                1,   0.5
       20, C        ,        0, gnnexplainer,             0.9, -8.444268226623535     , -7.67544412612915     , -6.077533721923828    , -8.145360946655273     , 0.2989072799682617    , 0.46991682052612305   , 2.0678272247314453   , 0.7688241004943848    , 2.366734504699707     , 0.17100954055786133    , 1.7689199447631836     ,                6,                1,   0.8333333333333334
       20, C        ,        1, gnnexplainer,             0.9, -8.444039344787598     , -7.295633792877197    , -7.678199768066406    , -8.147904396057129     , 0.29613494873046875   , 0.8522706031799316    , 0.46970462799072266  , 1.1484055519104004    , 0.7658395767211914    , 0.5561356544494629     , 0.1735696792602539     ,                6,                1,   0.8333333333333334
       20, C        ,        2, gnnexplainer,             0.9, -8.44495677947998      , -8.450620651245117    , -6.25817346572876     , -8.148948669433594     , 0.2960081100463867    , 0.30167198181152344   , 1.890775203704834    , 0.005663871765136719  , 2.1867833137512207    , 0.005663871765136719   , 1.5947670936584473     ,                6,                1,   0.8333333333333334
       20, C        ,        3, gnnexplainer,             0.9, -8.445212364196777     , -7.888073921203613    , -6.54327917098999     , -8.14694881439209      , 0.2982635498046875    , 0.25887489318847656   , 1.6036696434020996   , 0.5571384429931641    , 1.901933193206787     , -0.03938865661621094   , 1.305406093597412      ,                6,                1,   0.8333333333333334
       20, C        ,        4, gnnexplainer,             0.9, -8.443939208984375     , -7.773842811584473    , -7.143590450286865    , -8.146904945373535     , 0.29703426361083984   , 0.3730621337890625    , 1.00331449508667     , 0.6700963973999023    , 1.3003487586975098    , 0.07602787017822266    , 0.7062802314758301     ,                6,                1,   0.8333333333333334
       20, C        ,        5, gnnexplainer,             0.9, -8.444053649902344     , -7.627980709075928    , -7.107741355895996    , -8.146361351013184     , 0.29769229888916016   , 0.5183806419372559    , 1.0386199951171875   , 0.816072940826416     , 1.3363122940063477    , 0.2206883430480957     , 0.7409276962280273     ,                6,                1,   0.8333333333333334
       30, H        ,        0, gnnexplainer,             0.9, -0.0907490998506546    , -0.09663595259189606  , -0.09462533891201019  , -0.12868109345436096   , 0.03793199360370636   , 0.032045140862464905  , 0.03405575454235077  , 0.005886852741241455  , 0.003876239061355591  , -0.005886852741241455  , -0.003876239061355591  ,                2,                1,   0.5
       30, H        ,        1, gnnexplainer,             0.9, -0.05737382173538208   , -0.09590503573417664  , -0.050290513783693314 , -0.047584664076566696  , 0.009789157658815384  , 0.04832037165760994   , 0.0027058497071266174, 0.038531213998794556  , 0.0070833079516887665 , 0.038531213998794556   , -0.0070833079516887665 ,                2,                1,   0.5
       30, H        ,        2, gnnexplainer,             0.9, -0.19207677245140076   , -0.07132036983966827  , -0.19611075520515442  , -0.21381264925003052   , 0.02173587679862976   , 0.14249227941036224   , 0.0177018940448761   , 0.12075640261173248   , 0.004033982753753662  , 0.12075640261173248    , -0.004033982753753662  ,                2,                1,   0.5
       30, H        ,        3, gnnexplainer,             0.9, -0.19023951888084412   , -0.18871384859085083  , -0.06184767559170723  , -0.17307570576667786   , 0.01716381311416626   , 0.015638142824172974  , 0.11122803017497063  , 0.0015256702899932861 , 0.1283918432891369    , -0.0015256702899932861 , 0.09406421706080437    ,                2,                1,   0.5
       30, H        ,        4, gnnexplainer,             0.9, -0.3380805552005768    , -0.12414021790027618  , -0.3682708144187927   , -0.3381540775299072    , 7.352232933044434e-05 , 0.21401385962963104   , 0.030116736888885498 , 0.2139403373003006    , 0.030190259218215942  , 0.2139403373003006     , 0.030043214559555054   ,                2,                1,   0.5
       30, H        ,        5, gnnexplainer,             0.9, -0.33808597922325134   , -0.14292973279953003  , -0.2967730164527893   , -0.3381540775299072    , 6.809830665588379e-05 , 0.1952243447303772    , 0.04138106107711792  , 0.1951562464237213    , 0.041312962770462036  , 0.1951562464237213     , 0.041312962770462036   ,                2,                1,   0.5
       30, H        ,        6, gnnexplainer,             0.9, -0.192081481218338     , -0.19497385621070862  , -0.06445688009262085  , -0.21381264925003052   , 0.021731168031692505  , 0.0188387930393219    , 0.14935576915740967  , 0.0028923749923706055 , 0.12762460112571716   , -0.0028923749923706055 , 0.12762460112571716    ,                2,                1,   0.5
       30, H        ,        7, gnnexplainer,             0.9, -0.19024446606636047   , -0.21127000451087952  , -0.05265039950609207  , -0.1714879274368286    , 0.01875653862953186   , 0.0397820770740509    , 0.11883752793073654  , 0.021025538444519043  , 0.1375940665602684    , 0.021025538444519043   , 0.10008098930120468    ,                2,                1,   0.5
       30, C        ,        0, gnnexplainer,             0.9, -1.615869164466858     , -2.2639644145965576   , -2.418471336364746    , -1.5885530710220337    , 0.02731609344482422   , 0.6754113435745239    , 0.8299182653427124   , 0.6480952501296997    , 0.8026021718978882    , 0.6480952501296997     , 0.8026021718978882     ,                8,                1,   0.875
       30, C        ,        1, gnnexplainer,             0.9, -3.2298240661621094    , -3.269092082977295    , -2.361323118209839    , -3.0082218647003174    , 0.221602201461792     , 0.26087021827697754   , 0.6468987464904785   , 0.03926801681518555   , 0.8685009479522705    , 0.03926801681518555    , 0.4252965450286865     ,                8,                1,   0.875
       30, C        ,        2, gnnexplainer,             0.9, -12.875408172607422    , -10.910764694213867   , -7.151937961578369    , -12.421451568603516    , 0.45395660400390625   , 1.5106868743896484    , 5.2695136070251465   , 1.9646434783935547    , 5.723470211029053     , 1.0567302703857422     , 4.81555700302124       ,                6,                1,   0.8333333333333334
       30, C        ,        3, gnnexplainer,             0.9, -12.87525463104248     , -10.717135429382324   , -10.477669715881348   , -12.42249584197998     , 0.4527587890625       , 1.7053604125976562    , 1.9448261260986328   , 2.1581192016601562    , 2.397584915161133     , 1.2526016235351562     , 1.4920673370361328     ,                6,                1,   0.8333333333333334
       30, C        ,        4, gnnexplainer,             0.9, -3.2296955585479736    , -3.5684139728546143   , -2.311239719390869    , -3.0098090171813965    , 0.21988654136657715   , 0.5586049556732178    , 0.6985692977905273   , 0.3387184143066406    , 0.9184558391571045    , 0.3387184143066406     , 0.4786827564239502     ,                8,                1,   0.875
       40, H        ,        0, gnnexplainer,             0.9, -0.29488253593444824   , -0.14413172006607056  , -0.28274062275886536  , -0.3286808133125305    , 0.033798277378082275  , 0.18454909324645996   , 0.04594019055366516  , 0.15075081586837769   , 0.012141913175582886  , 0.15075081586837769    , 0.012141913175582886   ,                2,                1,   0.5
       40, H        ,        1, gnnexplainer,             0.9, -0.2948724627494812    , -0.13999336957931519  , -0.2547449767589569   , -0.32968080043792725   , 0.034808337688446045  , 0.18968743085861206   , 0.07493582367897034  , 0.15487909317016602   , 0.04012748599052429   , 0.15487909317016602    , 0.04012748599052429    ,                2,                1,   0.5
       40, H        ,        2, gnnexplainer,             0.9, -0.09831997007131577   , -0.10775966942310333  , -0.030078407377004623 , -0.0859522819519043    , 0.012367688119411469  , 0.021807387471199036  , 0.05587387457489967  , 0.009439699351787567  , 0.06824156269431114   , 0.009439699351787567   , 0.043506186455488205   ,                2,                1,   0.5
       40, H        ,        3, gnnexplainer,             0.9, -0.10229311138391495   , -0.12736663222312927  , -0.04060394689440727  , -0.09553185105323792   , 0.0067612603306770325 , 0.03183478116989136   , 0.05492790415883064  , 0.025073520839214325  , 0.061689164489507675  , 0.025073520839214325   , 0.04816664382815361    ,                2,                1,   0.5
       40, H        ,        4, gnnexplainer,             0.9, -0.1030576229095459    , -0.0189581960439682   , -0.12510427832603455  , -0.10788288712501526   , 0.00482526421546936   , 0.08892469108104706   , 0.017221391201019287 , 0.0840994268655777    , 0.022046655416488647  , 0.0840994268655777     , 0.012396126985549927   ,                2,                1,   0.5
       40, H        ,        5, gnnexplainer,             0.9, -0.103059321641922     , -0.04500245302915573  , -0.11808213591575623  , -0.10788288712501526   , 0.004823565483093262  , 0.06288043409585953   , 0.010199248790740967 , 0.058056868612766266  , 0.015022814273834229  , 0.058056868612766266   , 0.005375683307647705   ,                2,                1,   0.5
       40, H        ,        6, gnnexplainer,             0.9, -0.09832146018743515   , -0.049537353217601776 , -0.12376011908054352  , -0.08695228397846222   , 0.011369176208972931  , 0.03741493076086044   , 0.0368078351020813   , 0.048784106969833374  , 0.025438658893108368  , 0.026045754551887512   , 0.025438658893108368   ,                2,                1,   0.5
       40, H        ,        7, gnnexplainer,             0.9, -0.10230148583650589   , -0.11454401910305023  , -0.02584175020456314  , -0.09607572108507156   , 0.006225764751434326  , 0.018468298017978668  , 0.07023397088050842  , 0.012242533266544342  , 0.07645973563194275   , 0.012242533266544342   , 0.0640082061290741     ,                2,                1,   0.5
