graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat
0,H,0,gnnexplainer,0.9,match_ig_baseline,scientific,-0.17736566066741943,-0.17147353291511536,-0.1737334430217743,-0.17985659837722778,0.0024909377098083496,0.008383065462112427,0.006123155355453491,0.005892127752304077,0.0036322176456451416,0.005892127752304077,0.0036322176456451416,33,4,0.8787878787878788
0,H,0,integrated_gradients,0.9,match_ig_baseline,scientific,-0.17736566066741943,-0.1818356066942215,-0.17293113470077515,-0.17985659837722778,0.0024909377098083496,0.0019790083169937134,0.006925463676452637,0.004469946026802063,0.004434525966644287,-0.0005119293928146362,0.004434525966644287,33,4,0.8787878787878788
0,H,1,gnnexplainer,0.9,match_ig_baseline,scientific,-0.14692381024360657,-0.13927826285362244,-0.1780686378479004,-0.14272424578666687,0.004199564456939697,0.0034459829330444336,0.03534439206123352,0.007645547389984131,0.031144827604293823,-0.0007535815238952637,0.031144827604293823,33,4,0.8787878787878788
0,H,1,integrated_gradients,0.9,match_ig_baseline,scientific,-0.14692381024360657,-0.1604560911655426,-0.16231560707092285,-0.14272424578666687,0.004199564456939697,0.017731845378875732,0.01959136128425598,0.013532280921936035,0.015391796827316284,0.013532280921936035,0.015391796827316284,33,4,0.8787878787878788
0,H,2,gnnexplainer,0.9,match_ig_baseline,scientific,-0.17736902832984924,-0.17057174444198608,-0.1698647439479828,-0.18340036273002625,0.006031334400177002,0.012828618288040161,0.013535618782043457,0.006797283887863159,0.007504284381866455,0.006797283887863159,0.007504284381866455,33,4,0.8787878787878788
0,H,2,integrated_gradients,0.9,match_ig_baseline,scientific,-0.17736902832984924,-0.18182967603206635,-0.17292940616607666,-0.18340036273002625,0.006031334400177002,0.0015706866979599,0.010470956563949585,0.004460647702217102,0.004439622163772583,-0.004460647702217102,0.004439622163772583,33,4,0.8787878787878788
0,H,3,gnnexplainer,0.9,match_ig_baseline,scientific,-0.5146532654762268,-0.39529943466186523,-0.4872232675552368,-0.5416102409362793,0.02695697546005249,0.14631080627441406,0.05438697338104248,0.11935383081436157,0.02742999792098999,0.11935383081436157,0.02742999792098999,33,4,0.8787878787878788
0,H,3,integrated_gradients,0.9,match_ig_baseline,scientific,-0.5146532654762268,-0.4899095296859741,-0.5375165343284607,-0.5416102409362793,0.02695697546005249,0.051700711250305176,0.0040937066078186035,0.024743735790252686,0.022863268852233887,0.024743735790252686,-0.022863268852233887,33,4,0.8787878787878788
0,H,4,gnnexplainer,0.9,match_ig_baseline,scientific,-0.28085559606552124,-0.2682754695415497,-0.2914183437824249,-0.29296109080314636,0.012105494737625122,0.02468562126159668,0.0015427470207214355,0.012580126523971558,0.010562747716903687,0.012580126523971558,-0.010562747716903687,33,4,0.8787878787878788
0,H,4,integrated_gradients,0.9,match_ig_baseline,scientific,-0.28085559606552124,-0.23029309511184692,-0.2831139862537384,-0.29296109080314636,0.012105494737625122,0.06266799569129944,0.009847104549407959,0.050562500953674316,0.002258390188217163,0.050562500953674316,-0.002258390188217163,33,4,0.8787878787878788
