graph_idx,node_type,node_idx,method,sparsity_target,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_edges_considered,k_edges,actual_sparsity_edge
50,H,0,gnnexplainer,0.6,-0.18866461515426636,-0.05810077488422394,-0.18018534779548645,-0.18572446703910828,0.002940148115158081,0.12762369215488434,0.005539119243621826,0.13056384027004242,0.008479267358779907,0.12468354403972626,0.002598971128463745,30,12,0.6
50,H,1,gnnexplainer,0.6,-0.19408667087554932,-0.0746910572052002,-0.19725966453552246,-0.1745053380727768,0.019581332802772522,0.0998142808675766,0.022754326462745667,0.11939561367034912,0.0031729936599731445,0.08023294806480408,0.0031729936599731445,30,12,0.6
50,H,2,gnnexplainer,0.6,-0.13721123337745667,-0.07517791539430618,-0.09059905260801315,-0.1240059956908226,0.013205237686634064,0.04882808029651642,0.03340694308280945,0.06203331798315048,0.04661218076944351,0.035622842609882355,0.020201705396175385,30,12,0.6
50,H,3,gnnexplainer,0.6,-0.06269896030426025,-0.08554118871688843,-0.06992261111736298,-0.029461706057190895,0.03323725424706936,0.05607948265969753,0.04046090506017208,0.022842228412628174,0.007223650813102722,0.022842228412628174,0.007223650813102722,30,12,0.6
50,H,4,gnnexplainer,0.6,-0.05592544749379158,-0.08007227629423141,-0.05036706104874611,-0.08866342157125473,0.03273797407746315,0.008591145277023315,0.03829636052250862,0.024146828800439835,0.005558386445045471,-0.024146828800439835,0.005558386445045471,30,12,0.6
50,H,5,gnnexplainer,0.6,-0.08462868630886078,-0.05883194878697395,-0.10842938721179962,-0.06410186737775803,0.020526818931102753,0.005269918590784073,0.044327519834041595,0.025796737521886826,0.023800700902938843,-0.01525690034031868,0.023800700902938843,30,12,0.6
50,H,6,gnnexplainer,0.6,-0.33054494857788086,-0.1415926218032837,-0.30179670453071594,-0.3011716902256012,0.029373258352279663,0.1595790684223175,0.0006250143051147461,0.18895232677459717,0.028748244047164917,0.13020581007003784,-0.028748244047164917,30,12,0.6
50,H,7,gnnexplainer,0.6,-0.3257949948310852,-0.12779630720615387,-0.35933876037597656,-0.362988144159317,0.03719314932823181,0.23519183695316315,0.003649383783340454,0.19799868762493134,0.03354376554489136,0.19799868762493134,-0.03354376554489136,30,12,0.6
50,C,0,gnnexplainer,0.6,-3.4731967449188232,-2.236537218093872,-3.5106143951416016,-3.638505220413208,0.16530847549438477,1.401968002319336,0.12789082527160645,1.2366595268249512,0.03741765022277832,1.2366595268249512,-0.03741765022277832,30,12,0.6
50,C,1,gnnexplainer,0.6,-2.626781463623047,-1.431805968284607,-4.056735515594482,-2.7032065391540527,0.07642507553100586,1.2714005708694458,1.3535289764404297,1.19497549533844,1.4299540519714355,1.19497549533844,1.2771039009094238,30,12,0.6
50,C,2,gnnexplainer,0.6,-2.6187326908111572,-1.985629916191101,-3.3312532901763916,-3.0836172103881836,0.46488451957702637,1.0979872941970825,0.247636079788208,0.6331027746200562,0.7125205993652344,0.6331027746200562,-0.21724843978881836,30,12,0.6
