method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,72,15,4.619277353915903,2.9565891466839673,72,2.564840648737219,2.369265260197685,72,4.360758494171831,2.971953650283006,72,1.8974813102848,1.981235805944923,72,0.5803609403024775,0.0011695849470699676,72
integrated_gradients,C,66,13,3.539105609059334,2.640889758527038,66,0.3343654715202071,0.3162840358531266,66,3.1769729821067867,2.721840571057442,66,0.04622336973746618,0.3743266138810305,66,0.5805229375414859,0.0010388726245381403,66
gnnexplainer,H,129,15,0.11382208894505057,0.06676538411630376,129,0.07631051523047824,0.053852838875466914,129,0.10388634648433952,0.06497561774823778,129,0.028309981428924227,0.06155425166137933,129,0.5802185976218994,0.0011806051493060091,129
integrated_gradients,H,115,13,0.05742599358377249,0.061219575901983424,115,0.015517410117646922,0.013321809322235728,115,0.03973813387362853,0.0652975744303697,115,0.005304856371620427,0.01696785879759095,115,0.580454338771162,0.0009647684511951385,115
