graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat,n_features_target,k_features_target
50,H,0,gnnexplainer,0.9,zero,scientific,-0.18866461515426636,-0.1033366471529007,-0.23679253458976746,-0.18572446703910828,0.002940148115158081,0.08238781988620758,0.05106806755065918,0.08532796800136566,0.0481279194355011,0.0794476717710495,0.0481279194355011,498,56,0.8875502008032129,33,4
50,H,0,integrated_gradients,0.9,zero,scientific,-0.18866461515426636,-0.11377871781587601,-0.18465310335159302,-0.18572446703910828,0.002940148115158081,0.07194574922323227,0.0010713636875152588,0.07488589733839035,0.00401151180267334,0.06900560110807419,-0.0018687844276428223,498,56,0.8875502008032129,33,4
50,H,1,gnnexplainer,0.9,zero,scientific,-0.19408667087554932,-0.13191606104373932,-0.18692806363105774,-0.1745053380727768,0.019581332802772522,0.042589277029037476,0.012422725558280945,0.06217060983181,0.007158607244491577,0.023007944226264954,-0.007158607244491577,498,56,0.8875502008032129,33,4
50,H,1,integrated_gradients,0.9,zero,scientific,-0.19408667087554932,-0.12289299070835114,-0.1645016372203827,-0.1745053380727768,0.019581332802772522,0.05161234736442566,0.010003700852394104,0.07119368016719818,0.029585033655166626,0.03203101456165314,-0.009577631950378418,498,56,0.8875502008032129,33,4
50,H,2,gnnexplainer,0.9,zero,scientific,-0.13721123337745667,-0.083017997443676,-0.14509382843971252,-0.1240059956908226,0.013205237686634064,0.040987998247146606,0.021087832748889923,0.05419323593378067,0.00788259506225586,0.027782760560512543,0.00788259506225586,498,56,0.8875502008032129,33,4
50,H,2,integrated_gradients,0.9,zero,scientific,-0.13721123337745667,-0.12910115718841553,-0.13082635402679443,-0.1240059956908226,0.013205237686634064,0.005095161497592926,0.006820358335971832,0.008110076189041138,0.0063848793506622314,-0.008110076189041138,-0.0063848793506622314,498,56,0.8875502008032129,33,4
50,H,3,gnnexplainer,0.9,zero,scientific,-0.06269896030426025,-0.08270490169525146,-0.0829213559627533,-0.029461706057190895,0.03323725424706936,0.05324319563806057,0.0534596499055624,0.02000594139099121,0.020222395658493042,0.02000594139099121,0.020222395658493042,498,56,0.8875502008032129,33,4
50,H,3,integrated_gradients,0.9,zero,scientific,-0.06269896030426025,-0.0920804888010025,-0.09183107316493988,-0.029461706057190895,0.03323725424706936,0.06261878274381161,0.062369367107748985,0.02938152849674225,0.029132112860679626,0.02938152849674225,0.029132112860679626,498,56,0.8875502008032129,33,4
50,H,4,gnnexplainer,0.9,zero,scientific,-0.05592544749379158,-0.02714790776371956,-0.19030362367630005,-0.08866342157125473,0.03273797407746315,0.06151551380753517,0.10164020210504532,0.02877753973007202,0.13437817618250847,0.02877753973007202,0.06890222802758217,498,56,0.8875502008032129,33,4
50,H,4,integrated_gradients,0.9,zero,scientific,-0.05592544749379158,-0.08327879011631012,-0.09460680186748505,-0.08866342157125473,0.03273797407746315,0.005384631454944611,0.005943380296230316,0.02735334262251854,0.038681354373693466,-0.02735334262251854,-0.026794593781232834,498,56,0.8875502008032129,33,4
