method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,66,13,1.8583091926394086,2.0370657126279017,66,2.061358977899407,1.7242539757794615,66,1.5936234841744106,2.1264447996789695,66,1.4062841412695972,1.7131125323442569,66,0.8857401142545951,0.0010204495455715672,66
integrated_gradients,C,66,13,3.1979594361601453,2.518152875507952,66,0.6774356805465438,0.7881644442233976,66,2.873525952299436,2.5774414863958675,66,0.39338130549047934,0.7259898881413048,66,0.8857401142545951,0.0010204495455715672,66
gnnexplainer,H,115,13,0.04598014056682587,0.03192980020164497,115,0.044087539030158,0.04360917901153867,115,0.036350141109331796,0.03596960034280152,115,0.013897874724605809,0.04924524629165091,115,0.8855700445444985,0.0009848756143986703,115
integrated_gradients,H,115,13,0.04901490872320922,0.05112702632288488,115,0.029190822496362356,0.02539397425379767,115,0.03219563760187315,0.057597425858063794,115,0.009681868294010992,0.027234394374681753,115,0.8855700445444985,0.0009848756143986703,115
