method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,72,15,4.158646593491237,3.096596460539596,72,2.1316331498738794,2.390431340915878,72,3.8854479210244284,3.1110632735606094,72,1.5145063327832355,2.1195891311631865,72,0.6947781997504401,0.0004480382726239488,72
integrated_gradients,C,66,13,3.3320947763594715,2.917511065368793,66,0.2743487899953669,0.31257844108364463,66,2.9909154795336,2.9473693037886464,66,0.012562358018123743,0.2673861766784214,66,0.6947828232868906,0.00044666428175438034,66
gnnexplainer,H,129,15,0.09003183892530989,0.06620666866795198,129,0.06934583704023398,0.057070580287410036,129,0.080209832754015,0.06411545261467763,129,0.02094542624631016,0.0554698945654048,129,0.6948815186640523,0.0004071283228635939,129
integrated_gradients,H,115,13,0.05916980343020481,0.06750617252928127,115,0.00783717956231988,0.00962054298462412,115,0.040627051857502566,0.07187451862581518,115,-0.0006411924310352491,0.01045475190452945,115,0.6948842942266634,0.0004027679624054568,115
