method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,66,13,4.182819778720538,3.1621665840709072,66,2.240695481273261,2.45350273859129,66,3.8974143217007318,3.1676694064467203,66,1.6215332879713087,2.1532855101212856,66,0.6947828232868906,0.00044666428175438034,66
integrated_gradients,C,66,13,3.3320947763594715,2.917511065368793,66,0.2743487899953669,0.31257844108364463,66,2.9909154795336,2.9473693037886464,66,0.012562358018123743,0.2673861766784214,66,0.6947828232868906,0.00044666428175438034,66
gnnexplainer,H,115,13,0.09341760977454808,0.06886090143795881,115,0.0702523683724196,0.058657360557453124,115,0.08416369638365248,0.06638279105217211,115,0.023866217028673576,0.05648320528289559,115,0.6948842942266634,0.0004027679624054568,115
integrated_gradients,H,115,13,0.05916980343020481,0.06750617252928127,115,0.00783717956231988,0.00962054298462412,115,0.040627051857502566,0.07187451862581518,115,-0.0006411924310352491,0.01045475190452945,115,0.6948842942266634,0.0004027679624054568,115
