graph_idx,compound,graph_num_nodes,graph_num_edges,target_node_type,node_idx,target_value,seed_runs,feature_imp_mean_H,feature_imp_mean_C,feature_var_mean_H,feature_var_mean_C,edge_imp_mean,edge_var_mean,overall_var_mean
0,1,11,20,C,0,-2.1809728145599365,5,0.07555711382266248,0.08845483912107273,0.0001078114421994993,0.00012686142316484957,0.31617073826491826,0.10180425495207793,0.03401297593914743
0,1,11,20,C,1,-16.9322566986084,5,0.2013689653590472,0.34425761795196774,7.005194796776852e-05,0.0004230605341854694,0.5967853922396896,0.03026880922964107,0.010253973903931436
0,1,11,20,C,2,-8.388336181640625,5,0.13669539018712865,0.28895662516355514,0.00011760593138939624,0.0003350397585213539,0.5474713650345803,0.051653522475446634,0.017368722721785794
0,1,11,20,C,3,-6.655499458312988,5,0.05854665999761735,0.226632679830759,4.118655449380767e-05,0.00014058831012130407,0.4159709944576025,0.049830741839542246,0.016670838901385786
0,1,11,20,C,4,-12.745342254638672,5,0.06045334955508059,0.19710494588582944,1.1709680595617532e-05,0.00034635348494375305,0.3034645761176944,0.02511382662668966,0.00849062993074301
0,1,11,20,H,0,-0.17985659837722778,5,0.057782409498185826,0.05696202772550094,5.448512098618615e-06,5.1536443299445115e-06,0.25038472380489113,0.0656079524253784,0.021872851527268988
0,1,11,20,H,1,-0.14272424578666687,5,0.057519892512848884,0.05690852232468434,4.854824238434038e-06,5.924004804140299e-06,0.21527814742177726,0.09014867286721509,0.030053150565419223
0,1,11,20,H,2,-0.18340036273002625,5,0.0574868382378058,0.0570968729716081,4.1159898666994725e-06,4.949424096781485e-06,0.1636997592449188,0.06592156964799659,0.02197687835398669
0,1,11,20,H,3,-0.5416102409362793,5,0.07264855514572124,0.0919837118494205,1.2042437535344912e-05,3.6268831907228434e-05,0.3137451190501451,0.06007453572697362,0.0200409489988054
0,1,11,20,H,4,-0.29296109080314636,5,0.029078417181065585,0.09535252400697806,2.8920440037855376e-06,1.2665722200441792e-05,0.23767672099173068,0.07191217974793107,0.023975912504711764
0,1,11,20,H,5,-0.3744361400604248,5,0.014524141217422003,0.05933732942128792,1.01757516489497e-06,0.00018783836015228117,0.12925817571580409,0.04200266350445808,0.01406383981325842
10,2,12,24,C,0,-0.7767053842544556,5,0.17036456396295263,0.22797049827491625,0.0004228453789838278,0.00018822360065943975,0.5874005234489839,0.0804857287097051,0.027032265896449456
10,2,12,24,C,1,-0.7707053422927856,5,0.1679154700063395,0.2266335889601555,0.00023112909405286527,0.0007092720754542812,0.6210257396722834,0.07068685231688099,0.02387575116212938
10,2,12,24,C,2,-0.7707053422927856,5,0.1725693738539562,0.23243880672141534,0.00018203053277636352,0.0002900270940563198,0.6001997885915141,0.08495237229533918,0.028474809974057286
10,2,12,24,C,3,-0.7736613750457764,5,0.17069501420765212,0.23012054913128033,0.0002881539219012377,0.00032363774684308774,0.6522434499425193,0.06616330889365524,0.022258366854133186
10,2,12,24,H,0,-0.05126853287220001,5,0.06484871184961362,0.09534239084101638,4.2870608371573916e-06,9.912246104882708e-06,0.24883890316511192,0.08228846896654969,0.027434222757830574
