graph_idx,compound,target_node_type,node_idx,feature_source_type,feature_idx,feature_importance_mean,feature_variance
0,1,C,0,H,0,0.12098251283168793,4.904078248184859e-05
0,1,C,0,H,1,0.0,0.0
0,1,C,0,H,2,0.0,0.0
0,1,C,0,H,3,0.0,0.0
0,1,C,0,H,4,0.0,0.0
0,1,C,0,H,5,0.0,0.0
0,1,C,0,H,6,0.0,0.0
0,1,C,0,H,7,0.0,0.0
0,1,C,0,H,8,0.0,0.0
0,1,C,0,H,9,0.0,0.0
0,1,C,0,H,10,0.0,0.0
0,1,C,0,H,11,0.0,0.0
0,1,C,0,H,12,0.0,0.0
0,1,C,0,H,13,0.11754208604494729,4.409411351744057e-06
0,1,C,0,H,14,0.0,0.0
0,1,C,0,H,15,0.11687135150035222,5.638654364002642e-06
0,1,C,0,H,16,0.15756985147794086,0.001741787209281353
0,1,C,0,H,17,0.11938538302977879,2.7764936108470478e-05
0,1,C,0,H,18,0.12032584647337594,6.6706221463292525e-06
0,1,C,0,H,19,0.1435674493511518,0.00038114446521463616
0,1,C,0,H,20,0.11933482040961582,1.2540379461383953e-05
0,1,C,0,H,21,0.12625953008731208,8.718074763155426e-05
0,1,C,0,H,22,0.12632797757784525,5.879741742776223e-05
0,1,C,0,H,23,0.12146643449862797,1.700993326885864e-05
0,1,C,0,H,24,0.11825490146875381,2.0009676905743628e-06
0,1,C,0,H,25,0.14085382223129272,0.0008929427657912107
0,1,C,0,H,26,0.12085782065987587,1.6710236871224882e-05
0,1,C,0,H,27,0.12655890956521035,0.00014697320800951446
0,1,C,0,H,28,0.11856856544812519,1.3151246619828654e-05
0,1,C,0,H,29,0.12016322265068691,5.699592597923329e-06
0,1,C,0,H,30,0.12099101742108662,3.0259517498994875e-05
0,1,C,0,H,31,0.1191573716700077,1.8405296553838697e-06
0,1,C,0,H,32,0.11834588175018627,5.6214969110878346e-05
0,1,C,0,C,0,0.0,0.0
0,1,C,0,C,1,0.13670646369457246,0.0002562796737103655
0,1,C,0,C,2,0.0,0.0
0,1,C,0,C,3,0.0,0.0
0,1,C,0,C,4,0.0,0.0
0,1,C,0,C,5,0.0,0.0
0,1,C,0,C,6,0.0,0.0
0,1,C,0,C,7,0.0,0.0
0,1,C,0,C,8,0.0,0.0
0,1,C,0,C,9,0.0,0.0
0,1,C,0,C,10,0.0,0.0
0,1,C,0,C,11,0.0,0.0
0,1,C,0,C,12,0.0,0.0
0,1,C,0,C,13,0.11184081912040711,1.3790973852556476e-05
0,1,C,0,C,14,0.0,0.0
0,1,C,0,C,15,0.11426691740751267,1.6319050892081342e-05
0,1,C,0,C,16,0.20237872660160067,0.0006951430246841688
0,1,C,0,C,17,0.1114156648516655,2.7017386859363048e-05
0,1,C,0,C,18,0.12878072500228882,0.0002888505327125208
0,1,C,0,C,19,0.21261654973030092,0.0006167624159813897
0,1,C,0,C,20,0.12612290740013124,9.964596152280834e-05
0,1,C,0,C,21,0.1245575588941574,0.00013367604904772733
0,1,C,0,C,22,0.1379994234442711,0.000564877892209681
0,1,C,0,C,23,0.14818148195743558,0.0007755021025490856
0,1,C,0,C,24,0.11526940703392027,3.3128491945056747e-06
0,1,C,0,C,25,0.11892804086208345,1.2327407299621024e-05
0,1,C,0,C,26,0.13534207940101622,0.0003141973161151128
0,1,C,0,C,27,0.1136880424618721,1.931706761223e-05
0,1,C,0,C,28,0.11039336949586867,3.822756098148475e-05
0,1,C,0,C,29,0.11736241102218628,2.4524096764670862e-05
0,1,C,0,C,30,0.20366529762744906,0.0004715520405743495
0,1,C,0,C,31,0.13142812490463257,0.00018421966066523287
0,1,C,0,C,32,0.12427333414554598,0.00017003495887151691
0,1,C,0,C,33,0.12100060284137726,2.131277433714373e-05
0,1,C,0,C,34,0.11621992051601411,2.513456859324279e-05
0,1,C,0,C,35,0.11808999657630918,2.726896081522627e-05
0,1,C,0,C,36,0.13167759358882902,0.0001219227989322093
0,1,C,0,C,37,0.12155341148376464,1.3854630572554077e-05
0,1,C,0,C,38,0.11597985565662383,1.2523748078285026e-05
0,1,C,1,H,0,0.5569833874702453,0.00011973015979588317
0,1,C,1,H,1,0.0,0.0
0,1,C,1,H,2,0.0,0.0
0,1,C,1,H,3,0.0,0.0
0,1,C,1,H,4,0.0,0.0
0,1,C,1,H,5,0.0,0.0
0,1,C,1,H,6,0.0,0.0
0,1,C,1,H,7,0.0,0.0
0,1,C,1,H,8,0.0,0.0
0,1,C,1,H,9,0.0,0.0
0,1,C,1,H,10,0.0,0.0
0,1,C,1,H,11,0.0,0.0
0,1,C,1,H,12,0.0,0.0
0,1,C,1,H,13,0.1189240758617719,2.2603245496446428e-05
0,1,C,1,H,14,0.0,0.0
0,1,C,1,H,15,0.16902855758865676,0.00015531785986098185
0,1,C,1,H,16,0.357467083632946,5.601023452844288e-05
0,1,C,1,H,17,0.3625258738795917,3.985279395439267e-05
0,1,C,1,H,18,0.24770990038911506,2.833067270969666e-05
0,1,C,1,H,19,0.5284116864204408,1.0740076702016731e-05
0,1,C,1,H,20,0.3836422339081764,3.6071799160285366e-05
0,1,C,1,H,21,0.26579131235678993,3.549295341668972e-05
0,1,C,1,H,22,0.16080959389607113,0.00011033467774357637
0,1,C,1,H,23,0.3627706438302994,0.00017672523854705036
0,1,C,1,H,24,0.3504423851768176,1.018171236585539e-05
0,1,C,1,H,25,0.6023153364658356,3.111295604127707e-05
0,1,C,1,H,26,0.6164077599843344,0.000465030521264655
0,1,C,1,H,27,0.2835918520887693,4.3778439003631136e-05
0,1,C,1,H,28,0.4659766813119252,0.00015355951667471267
0,1,C,1,H,29,0.2264512861768405,5.489487808105234e-05
0,1,C,1,H,30,0.1978782390554746,0.0005350051348179626
0,1,C,1,H,31,0.18266739845275878,0.00013832034298103378
0,1,C,1,H,32,0.2053805689016978,8.862106979071882e-05
0,1,C,1,C,0,0.0,0.0
0,1,C,1,C,1,0.27801076173782346,0.000317418892302084
0,1,C,1,C,2,0.0,0.0
0,1,C,1,C,3,0.0,0.0
0,1,C,1,C,4,0.0,0.0
0,1,C,1,C,5,0.0,0.0
0,1,C,1,C,6,0.0,0.0
0,1,C,1,C,7,0.0,0.0
0,1,C,1,C,8,0.0,0.0
0,1,C,1,C,9,0.0,0.0
0,1,C,1,C,10,0.0,0.0
0,1,C,1,C,11,0.0,0.0
0,1,C,1,C,12,0.0,0.0
0,1,C,1,C,13,0.41536570429801944,1.0902116648727493e-05
0,1,C,1,C,14,0.0,0.0
0,1,C,1,C,15,0.7099518555402755,0.0011894238725448862
0,1,C,1,C,16,0.5212480682134628,0.00013024417798920043
0,1,C,1,C,17,0.5593616360425949,0.00023935742258340435
0,1,C,1,C,18,0.3318194484710693,0.0001946061993727767
0,1,C,1,C,19,0.48781490981578823,0.000132774412226345
0,1,C,1,C,20,0.49463660389184944,0.00024696630253539874
0,1,C,1,C,21,0.4981035503745079,0.0022715261330457596
0,1,C,1,C,22,0.4220435917377472,0.00022816935188906163
0,1,C,1,C,23,0.3996414786577225,6.454187291061471e-05
0,1,C,1,C,24,0.5337407308816909,0.0005926732583532511
0,1,C,1,C,25,0.586719776391983,0.002733396877288216
0,1,C,1,C,26,0.5641312637925149,0.00020510828097119755
0,1,C,1,C,27,0.41362165898084646,2.521262856438573e-05
0,1,C,1,C,28,0.6655760395526886,0.0007367644608703462
0,1,C,1,C,29,0.4713753652572632,2.7977782107358677e-05
0,1,C,1,C,30,0.8005288362503051,0.0004327150789849271
0,1,C,1,C,31,0.6606339260935783,0.0006932904900850466
0,1,C,1,C,32,0.4184583711624145,0.002282049575630245
0,1,C,1,C,33,0.5891683807969093,0.0003006283854710555
