target_node_type, feature_source_type, feature_idx, feature_importance_mean, feature_importance_median, feature_importance_std, feature_variance_mean , feature_variance_median, feature_variance_std  , n_node_entries, feature_name     , feature_label
C               , C                  ,          16,     0.3610585430241435 ,       0.33786954149603843,   0.13436358018320754 , 0.0006176678508867447 , 0.00022205175661337912 , 0.0013217749282165064 ,            308, shift_low        , C:shift_low
C               , C                  ,          19,     0.35962548110191755,       0.3283855885267257 ,   0.13603693526547886 , 0.0005924284407936636 , 0.00017895269258153142 , 0.0010606764395033627 ,            308, shielding_para   , C:shielding_para
C               , C                  ,          30,     0.3385314443764947 ,       0.284881876707077  ,   0.14613812771276796 , 0.0005710996776485445 , 0.0001785280880100577  , 0.0011729335780422485 ,            308, orb_charge_loew_s, C:orb_charge_loew_s
C               , C                  ,          15,     0.33741442544692773,       0.30178920086473227,   0.15578651781621072 , 0.0005998366560279058 , 0.0002583848763094396  , 0.0009842158756775486 ,            308, degree           , C:degree
C               , C                  ,          26,     0.3304551996695121 ,       0.28385441192558836,   0.164572179141371   , 0.0004477646406789331 , 0.00016979455423877295 , 0.0009083752279164747 ,            308, orb_charge_mull_s, C:orb_charge_mull_s
C               , C                  ,          23,     0.3174682249884935 ,       0.3001496615154402 ,   0.12120641913918459 , 0.00037307062552069815, 0.00014265459672063805 , 0.0007337235429880824 ,            308, anisotropy       , C:anisotropy
C               , C                  ,          31,     0.30443911203394036,       0.2768370977292458 ,   0.13759282177019933 , 0.0005711230439554222 , 0.00015186412651954715 , 0.0014385984897169709 ,            308, orb_charge_loew_p, C:orb_charge_loew_p
C               , C                  ,          33,     0.3028463092158867 ,       0.24884153917431828,   0.1467086593511689  , 0.0005937910619690669 , 0.00016838471307262167 , 0.0016218794220352313 ,            308, orb_stdev_loew_p , C:orb_stdev_loew_p
C               , C                  ,          25,     0.29562529769384555,       0.2336238619472299 ,   0.15550244263496554 , 0.0006022778711932667 , 0.0001763241807636347  , 0.0011756128150913288 ,            308, at_charge_loew   , C:at_charge_loew
C               , C                  ,          20,     0.2903752089656622 ,       0.27138611413538455,   0.11441277199812414 , 0.00035342412087782047, 0.00015872192192218474 , 0.0005907300759916933 ,            308, span             , C:span
C               , C                  ,          35,     0.29017224811889514,       0.2523936225722233 ,   0.1286511128104253  , 0.0005491304185673369 , 0.000163745768649394   , 0.0010903720692400168 ,            308, BO_loew_av       , C:BO_loew_av
C               , C                  ,          21,     0.2785263560633662 ,       0.24584470130503178,   0.12285730012799223 , 0.0005539311265011291 , 0.00013256911115994347 , 0.001847089126900895  ,            308, skew             , C:skew
C               , C                  ,          29,     0.27850432292536365,       0.2503358385215203 ,   0.11197668593983319 , 0.0006216953774308636 , 0.00019294002566979743 , 0.0016226127312759788 ,            308, orb_stdev_mull_p , C:orb_stdev_mull_p
C               , C                  ,          18,     0.27764608479331865,       0.262530410066247  ,   0.10756887535269585 , 0.0004658907526792482 , 0.00019905066754042668 , 0.0009422485984615852 ,            308, shielding_dia    , C:shielding_dia
C               , C                  ,          32,     0.2711370375615832 ,       0.23623858292897543,   0.10678802075419395 , 0.0005464545705937812 , 0.00016524713081714882 , 0.00124269968699714   ,            308, orb_charge_loew_d, C:orb_charge_loew_d
C               , C                  ,          36,     0.2701499442549119 ,       0.22151277943381242,   0.1382705202439155  , 0.0003877675770902222 , 9.582678876731217e-05  , 0.0007058749220789723 ,            308, BO_mayer_sum     , C:BO_mayer_sum
C               , C                  ,          22,     0.2699876408742357 ,       0.23164500770469507,   0.11434930947733953 , 0.00044677820761073107, 0.00013595679574718119 , 0.0009053330711854818 ,            308, asymmetry        , C:asymmetry
C               , C                  ,          17,     0.26975493743274437,       0.24782561063766478,   0.11120296883998644 , 0.0004444009809086954 , 0.00019090856919750943 , 0.0008438599298980771 ,            308, CN(X)            , C:CN(X)
C               , C                  ,          37,     0.2693435290495041 ,       0.23030584609756866,   0.11247596993198682 , 0.0004940452031809291 , 0.00015240721348580192 , 0.0011408657031923377 ,            308, BO_mayer_av      , C:BO_mayer_av
C               , C                  ,          27,     0.2662116450326369 ,       0.24239110425114632,   0.11586664986696742 , 0.00041398764150846716, 0.00011877517659956704 , 0.0009349551921476454 ,            308, orb_charge_mull_p, C:orb_charge_mull_p
C               , C                  ,          24,     0.2638223687912255 ,       0.2416356993218263 ,   0.11097309975209031 , 0.00039727685346350853, 0.000151740373938148   , 0.000718230149861857  ,            308, at_charge_mull   , C:at_charge_mull
C               , C                  ,          28,     0.26004892467273466,       0.23721527432401976,   0.11622379815003628 , 0.0005389562187437635 , 0.0001601243156651975  , 0.0014766152388219287 ,            308, orb_charge_mull_d, C:orb_charge_mull_d
C               , C                  ,          34,     0.25915702369357835,       0.22964184094752582,   0.10852480961750623 , 0.00046005824390546446, 0.00012483830533666418 , 0.0009364370297548517 ,            308, BO_loew_sum      , C:BO_loew_sum
C               , H                  ,          16,     0.2577002856021781 ,       0.22811445237861738,   0.13822942244943243 , 0.00038928045405671463, 5.820131694095137e-05  , 0.0009261151324554613 ,            308, shift_low        , H:shift_low
C               , C                  ,           1,     0.2547916476972788 ,       0.2465756305803855 ,   0.07222669875567478 , 0.0005170861151018396 , 0.00020481177188462967 , 0.0011521775387725167 ,            308, C                , C:C
C               , H                  ,          19,     0.2471959703763428 ,       0.20755543802465712,   0.1316216603249713  , 0.0004662405614949476 , 6.49483033933218e-05   , 0.0011509749266128708 ,            308, shielding_para   , H:shielding_para
C               , H                  ,           0,     0.24629876002732323,       0.21845061574977906,   0.12314823635266939 , 0.0003465137893819372 , 0.0001164085984751816  , 0.0006487948413491268 ,            308, H                , H:H
