graph_idx,compound,target_node_type,node_idx,edge_idx,edge_importance_mean,edge_variance
0,1,C,0,0,0.7602217584848404,0.1203190595223109
0,1,C,0,1,0.6084033817052841,0.1656060914091642
0,1,C,0,2,0.0629083789885044,0.00010384541752878949
0,1,C,0,3,0.41133992969989774,0.18360286584387153
0,1,C,0,4,0.0,0.0
0,1,C,0,5,0.2381272979080677,0.12029372766779249
0,1,C,0,6,0.0,0.0
0,1,C,0,7,0.0,0.0
0,1,C,0,8,0.4095191642642021,0.18196257940697827
0,1,C,0,9,0.5827663108706475,0.18625759289985105
0,1,C,0,10,0.5864719733595848,0.17859195240491382
0,1,C,0,11,0.4122941419482231,0.18057254752184343
0,1,C,0,12,0.0,0.0
0,1,C,0,13,0.0,0.0
0,1,C,0,14,0.41447039917111395,0.1795572757616403
0,1,C,0,15,0.5878106847405433,0.18022360815855595
0,1,C,0,16,0.5923006072640419,0.17844359023941803
0,1,C,0,17,0.06915401965379715,5.452452374782535e-05
0,1,C,0,18,0.5876267172396183,0.1804958382639422
0,1,C,0,19,0.0,0.0
0,1,C,1,0,0.8286761522293091,0.003759407939006678
0,1,C,1,1,0.8888348817825318,0.0015713414003207047
0,1,C,1,2,0.9314172983169555,0.0002576851822317394
0,1,C,1,3,0.7646113753318786,0.002343320422341435
0,1,C,1,4,0.587115116417408,0.18490801058998674
0,1,C,1,5,0.8618804216384888,0.0005151627240522316
0,1,C,1,6,0.0,0.0
0,1,C,1,7,0.6007897600531578,0.1601137312499067
0,1,C,1,8,0.25436679273843765,0.11830890098699495
0,1,C,1,9,0.07863069027662277,3.595930440613238e-05
0,1,C,1,10,0.25890994220972063,0.11980747694378566
0,1,C,1,11,0.8256210803985595,0.004184903224113725
0,1,C,1,12,0.8936323404312134,0.0012265593553058805
0,1,C,1,13,0.0,0.0
0,1,C,1,14,0.8544175505638123,0.0005739686289408041
0,1,C,1,15,0.8057967305183411,0.0025781861367838135
0,1,C,1,16,0.8448202729225158,0.0003584600560066065
0,1,C,1,17,0.8174508333206176,0.0021472284049215773
0,1,C,1,18,0.838736605644226,0.0026858820437161055
0,1,C,1,19,0.0,0.0
0,1,C,2,0,0.7857634425163269,0.0021417980979606456
0,1,C,2,1,0.5757536366581917,0.17435125877627336
0,1,C,2,2,0.7921619176864624,0.007499147008369676
0,1,C,2,3,0.7066895246505738,0.028649651951400866
0,1,C,2,4,0.8726385831832886,0.0021235819570662785
0,1,C,2,5,0.785111951828003,0.0044253801315511515
0,1,C,2,6,0.7468651860952378,0.11705039735251044
0,1,C,2,7,0.7996598958969117,0.017970680783058978
0,1,C,2,8,0.0,0.0
0,1,C,2,9,0.0,0.0
0,1,C,2,10,0.0,0.0
0,1,C,2,11,0.899237060546875,0.0002556571200182134
0,1,C,2,12,0.7163656234741211,0.02132473238841811
0,1,C,2,13,0.0,0.0
0,1,C,2,14,0.23955921977758407,0.11946575703327142
0,1,C,2,15,0.4075615406036377,0.1800399621887533
0,1,C,2,16,0.4125062346458435,0.17695260621546607
0,1,C,2,17,0.8220501899719238,0.0008948441088912773
0,1,C,2,18,0.8007740259170533,0.002588106157781169
0,1,C,2,19,0.5867292672395706,0.1773368882381418
0,1,C,3,0,0.4195071026682854,0.18719680519481216
0,1,C,3,1,0.0,0.0
0,1,C,3,2,0.5756464436650276,0.1217011991161299
