"Name"                    , "State"   , "Notes", "User", "Tags", "Created"                 , "Runtime", "Sweep", "ablation_drop_indices"         , "ablation_feature_key", "ablation_feature_name", "ablation_mode", "ablation_node_type", "batch_size", "encoder_dropout", "gnnlayer_dropout", "hidden_dim", "in_dim_dict.C", "in_dim_dict.H", "in_dim_dict.Others", "loss_weight_C", "loss_weight_H", "lr"    , "normalize_edge_features", "normalize_node_features", "num_epochs", "num_gnn_layers", "operator_type", "optimizer", "out_dim", "output_detailed_predictions", "output_dir", "scheduler_factor", "scheduler_patience", "seed", "split_ratio"    , "weight_decay", "epoch", "run_status", "test_mae_C"        , "test_mae_H"          , "test_mse_C"        , "test_mse_H"           , "train_mae_C"       , "train_mae_H"         , "train_mse_C"       , "train_mse_H"          , "val_mae_C"         , "val_mae_H"           , "val_mse_C"         , "val_mse_H"            , "val_score"
"drop_CNX_C"              , "finished", "-"    , ""    , ""    , "2026-03-05T14:13:11.000Z", "511"    , ""     , "[17]"                          , "CNX_C"               , "CN(X)"                , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "54"   , "ok"        , "0.5703088482220967", "0.03857855431735516" , "0.5938613810141882", "0.003328923088265583" , "0.4851586104356326", "0.0238513714247025"  , "0.6051457889951193", "0.001093342553358525" , "0.6543620215994971", "0.03321190638733762" , "0.8885853178799152", "0.0021462760321030927", "0.49324054273643664"
"drop_shift_low_C"        , "finished", "-"    , ""    , ""    , "2026-03-05T14:10:26.000Z", "164"    , ""     , "[16]"                          , "shift_low_C"         , "shift_low"            , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "16"   , "ok"        , "0.7865927263100942", "0.0420796087756753"  , "1.2963811081647874", "0.004720237771592414" , "0.6433006106890164", "0.03254339434779607" , "1.0073409758221643", "0.0019984593838363743", "0.9015670137745994", "0.03154337319678494" , "4.250246785900423" , "0.0019111489428074232", "0.6085003728712244"
"drop_degree_C"           , "finished", "-"    , ""    , ""    , "2026-03-05T14:07:14.000Z", "190"    , ""     , "[15]"                          , "degree_C"            , "degree"               , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "19"   , "ok"        , "0.6421409873167674", "0.04283062460521857" , "0.8551504223545392", "0.005068446934844057" , "0.6421017125936654", "0.031408473978248926", "1.0802639269198362", "0.0018710903258761392", "0.7529707708529063", "0.03484328961265939" , "1.200053511879274" , "0.0023316181314709996", "0.5507018334897501"
"drop_formal_charge_C"    , "finished", "-"    , ""    , ""    , "2026-03-05T13:59:36.000Z", "457"    , ""     , "[14]"                          , "formal_charge_C"     , "formal_charge"        , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "48"   , "ok"        , "0.5648621747891108", "0.03788913813730081" , "0.5818039955198765", "0.0036100636201445014", "0.5099545787160213", "0.02492499662419924" , "0.7142072197694618", "0.0012014162503496313", "0.7213445874197143", "0.036025225730346784", "1.089010620649372" , "0.002511857361449594" , "0.540798422361591"
"drop_mass_C"             , "finished", "-"    , ""    , ""    , "2026-03-05T13:54:05.000Z", "330"    , ""     , "[13]"                          , "mass_C"              , "mass"                 , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "34"   , "ok"        , "0.6934614586830139", "0.04157068679730098" , "0.9260289945205052", "0.0048650924997249"   , "0.5458149638772011", "0.027904347891990956", "0.738589463531971" , "0.0014784619250209428", "0.7534458092280797", "0.033918587331260956", "1.1020840425576484", "0.0023889019889923343", "0.5463158412703446"
"drop_nodetype_onehot_C"  , "finished", "-"    , ""    , ""    , "2026-03-05T13:49:13.000Z", "290"    , ""     , "[0,1,2,3,4,5,6,7,8,9,10,11,12]", "nodetype_onehot_C"   , "nodetype_onehot"      , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "26"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "30"   , "ok"        , "0.6075906948248545", "0.04004343636333942" , "0.610620248913765" , "0.004430964301185061" , "0.5942162508918689", "0.027344543039798736", "0.8743310324790387", "0.001433693213442054" , "0.7434168479272297", "0.03459466745012573" , "1.271732297752585" , "0.0024665515466559943", "0.5446817612142435"
"drop_mayer_VA_H"         , "finished", "-"    , ""    , ""    , "2026-03-05T13:46:31.000Z", "161"    , ""     , "[32]"                          , "mayer_VA_H"          , "mayer_VA"             , "drop_column"  , "H"                 , "2"         , "0.1"            , "0.1"             , "128"       , "39"           , "32"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "16"   , "ok"        , "0.6814489358663559", "0.04417943055431048" , "0.9455834919710954", "0.0050444318059210975", "0.6369052556386361", "0.03246008315625099" , "1.003868752706509" , "0.0020662917289435145", "0.7934490497623171", "0.0358612666704825"  , "1.697722411794322" , "0.002357489663076454" , "0.576030858233571"
"drop_BO_mayer_H"         , "finished", "-"    , ""    , ""    , "2026-03-05T13:43:21.000Z", "188"    , ""     , "[31]"                          , "BO_mayer_H"          , "BO_mayer"             , "drop_column"  , "H"                 , "2"         , "0.1"            , "0.1"             , "128"       , "39"           , "32"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "19"   , "ok"        , "0.6821418656905492", "0.04361850676437219" , "0.952296560506026" , "0.004910448295995593" , "0.6111489241398298", "0.031103432800334233", "0.9074861163359422", "0.00183496232113192"  , "0.8411069382514272", "0.035516974675868236", "1.4594694308936595", "0.0025418898257027777", "0.5981383425050548"
"drop_BO_loew_H"          , "finished", "-"    , ""    , ""    , "2026-03-05T13:37:03.000Z", "377"    , ""     , "[30]"                          , "BO_loew_H"           , "BO_loew"              , "drop_column"  , "H"                 , "2"         , "0.1"            , "0.1"             , "128"       , "39"           , "32"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "39"   , "ok"        , "0.6357462851206461", "0.04138679583867391" , "0.7200374555587769", "0.003925104506391411" , "0.5686619492677542", "0.02602215436502145" , "0.9377343141631438", "0.0012531797809508414", "0.8650082068783896", "0.03555781364973102" , "1.7185111504580293", "0.0023169989735054384", "0.6102931716878499"
"drop_orb_charge_loew_p_H", "finished", "-"    , ""    , ""    , "2026-03-05T13:31:01.000Z", "356"    , ""     , "[29]"                          , "orb_charge_loew_p_H" , "orb_charge_loew_p"    , "drop_column"  , "H"                 , "2"         , "0.1"            , "0.1"             , "128"       , "39"           , "32"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "34"   , "ok"        , "0.6754545398553212", "0.04357741322368383" , "0.9181143607695896", "0.004294446415345495" , "0.5432302723022607", "0.027738001280679152", "0.7663267514166924", "0.001479381816013931" , "0.7791169815829821", "0.03329997383324163" , "1.9137023632015504", "0.002296458195113311" , "0.5560583599576993"
