feature_key,feature_name,feature_node_type,gt_signed,method,target,explainer_score,gt_clipped,explainer_abs,gt_norm,explainer_norm,mae_component
orb_stdev_mull_p_C,orb_stdev_mull_p,C,0.000234,gnnexplainer,H,0.4306400716304779,0.000234,0.4306400716304779,0.003593973183430862,0.02603424539216115,0.022440272208730287
shielding_dia_C,shielding_dia,C,0.001383,gnnexplainer,H,0.41465580463409424,0.001383,0.41465580463409424,0.021241303045661887,0.025067920247772928,0.0038266172021110406
shielding_dia_H,shielding_dia,H,0.001001,gnnexplainer,H,0.26703864336013794,0.001001,0.26703864336013794,0.015374218618009798,0.016143759088896658,0.0007695404708868599
shielding_para_C,shielding_para,C,0.001392,gnnexplainer,H,0.44921788573265076,0.001392,0.44921788573265076,0.021379532783486154,0.02715736282374317,0.005777830040257014
shielding_para_H,shielding_para,H,0.001151,gnnexplainer,H,0.28342145681381226,0.001151,0.28342145681381226,0.01767804758174753,0.017134178266684966,0.0005438693150625652
shift_low_C,shift_low,C,0.001359,gnnexplainer,H,0.44994911551475525,0.001359,0.44994911551475525,0.020872690411463852,0.02720156915018485,0.006328878738720997
shift_low_H,shift_low,H,0.002958,gnnexplainer,H,0.2830413579940796,0.002958,0.2830413579940796,0.045431507164908076,0.017111199480923753,0.028320307683984323
skew_C,skew,C,4.1e-05,gnnexplainer,H,0.42679929733276367,4.1e-05,0.42679929733276367,0.0006297132500883134,0.02580205227510167,0.025172339025013354
skew_H,skew,H,-0.000626,gnnexplainer,H,0.2615276277065277,0.0,0.2615276277065277,0.0,0.015810591919053617,0.015810591919053617
span_C,span,C,0.001415,gnnexplainer,H,0.4179496765136719,0.001415,0.4179496765136719,0.02173278655792594,0.025267050506317112,0.003534263948391174
span_H,span,H,0.001993,gnnexplainer,H,0.269031286239624,0.001993,0.269031286239624,0.030610207498195333,0.01626422385081969,0.014345983647375642
