mask_variant, sparsity_target, method              , node_type, fid_plus_model_mean , fid_plus_model_std  , fid_plus_model_count, fid_minus_model_mean, fid_minus_model_std  , fid_minus_model_count, n_nodes, n_graphs
scientific  ,             0.5, gnnexplainer        , C        , 3.734714228245947   , 3.067622081909931   ,                   72, 1.224709904856152   , 1.2066605243671167   ,                    72,      72,       15
scientific  ,             0.5, integrated_gradients, C        , 3.422691253550125   , 2.9179143501769973  ,                   66, 0.1165328880376888  , 0.2553125598056835   ,                    66,      66,       13
scientific  ,             0.5, gnnexplainer        , H        , 0.0795136282379313  , 0.06572595606851164 ,                  129, 0.04016649697062581 , 0.03652037135731474  ,                   129,     129,       15
scientific  ,             0.5, integrated_gradients, H        , 0.06204315644243489 , 0.06882334757710826 ,                  115, 0.001941087226504865, 0.0032318651718207217,                   115,     115,       13
scientific  ,             0.6, gnnexplainer        , C        , 4.1735906302928925  , 3.202299234197159   ,                   72, 1.9423550948914554  , 1.8799737622921708   ,                    72,      72,       15
scientific  ,             0.6, integrated_gradients, C        , 3.3905721202944266  , 2.901320962022504   ,                   66, 0.1752393374388868  , 0.25686474615516885  ,                    66,      66,       13
scientific  ,             0.6, gnnexplainer        , H        , 0.09439364993988081 , 0.0667463884886456  ,                  129, 0.06555151558199594 , 0.0643823750889659   ,                   129,     129,       15
scientific  ,             0.6, integrated_gradients, H        , 0.0628318373599778  , 0.06905684816107348 ,                  115, 0.004556323749863583, 0.0065602931453371425,                   115,     115,       13
scientific  ,             0.7, gnnexplainer        , C        , 4.158646593491237   , 3.096596460539596   ,                   72, 2.1316331498738794  , 2.390431340915878    ,                    72,      72,       15
scientific  ,             0.7, integrated_gradients, C        , 3.3320947763594715  , 2.917511065368793   ,                   66, 0.2743487899953669  , 0.31257844108364463  ,                    66,      66,       13
scientific  ,             0.7, gnnexplainer        , H        , 0.09003183892530989 , 0.06620666866795198 ,                  129, 0.06934583704023398 , 0.057070580287410036 ,                   129,     129,       15
scientific  ,             0.7, integrated_gradients, H        , 0.05916980343020481 , 0.06750617252928127 ,                  115, 0.00783717956231988 , 0.00962054298462412  ,                   115,     115,       13
scientific  ,             0.8, gnnexplainer        , C        , 3.308529794216156   , 2.6441000189182295  ,                   72, 1.511611811299291   , 1.6927917376289006   ,                    72,      72,       15
scientific  ,             0.8, integrated_gradients, C        , 3.379821436423244   , 3.0271136396031997  ,                   66, 0.4308398950732116  , 0.5119508083211508   ,                    66,      66,       13
scientific  ,             0.8, gnnexplainer        , H        , 0.06998327975125276 , 0.06309853384647915 ,                  129, 0.05368887231678002 , 0.0420476450975729   ,                   129,     129,       15
scientific  ,             0.8, integrated_gradients, H        , 0.056499603099149205, 0.06361743096566623 ,                  115, 0.011322616170281949, 0.012903485852485734 ,                   115,     115,       13
scientific  ,             0.9, gnnexplainer        , C        , 1.7010399949633412  , 1.9141870914373043  ,                   72, 1.7368816845119     , 1.9089385743863303   ,                    72,      72,       15
scientific  ,             0.9, integrated_gradients, C        , 3.041562272292195   , 2.6620525276221727  ,                   66, 0.7171224622112332  , 0.8885882364590241   ,                    66,      66,       13
scientific  ,             0.9, gnnexplainer        , H        , 0.03870195185029229 , 0.04057895233501859 ,                  129, 0.03847779489533846 , 0.039884845197255415 ,                   129,     129,       15
