graph_idx,node_type,node_idx,method,sparsity_target,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_edges_considered,k_edges,actual_sparsity_edge,grid_run_id,mask_variant,sparsity_target_requested
50,H,0,gnnexplainer,0.5,-0.18866461515426636,-0.05501411110162735,-0.17441582679748535,-0.18572446703910828,0.002940148115158081,0.13071035593748093,0.011308640241622925,0.133650504052639,0.014248788356781006,0.12777020782232285,0.008368492126464844,30,15,0.5,run_01_s50_zero,zero,0.5
50,H,1,gnnexplainer,0.5,-0.19408667087554932,-0.07587575167417526,-0.18038016557693481,-0.1745053380727768,0.019581332802772522,0.09862958639860153,0.00587482750415802,0.11821091920137405,0.013706505298614502,0.07904825359582901,-0.013706505298614502,30,15,0.5,run_01_s50_zero,zero,0.5
50,H,2,gnnexplainer,0.5,-0.13721123337745667,-0.10132188349962234,-0.14573189616203308,-0.1240059956908226,0.013205237686634064,0.022684112191200256,0.02172590047121048,0.03588934987783432,0.008520662784576416,0.009478874504566193,0.008520662784576416,30,15,0.5,run_01_s50_zero,zero,0.5
50,H,3,gnnexplainer,0.5,-0.06269896030426025,-0.08758058398962021,-0.054127614945173264,-0.029461706057190895,0.03323725424706936,0.058118877932429314,0.02466590888798237,0.024881623685359955,0.00857134535908699,0.024881623685359955,-0.00857134535908699,30,15,0.5,run_01_s50_zero,zero,0.5
50,H,4,gnnexplainer,0.5,-0.05592544749379158,-0.0834842175245285,-0.06905777007341385,-0.08866342157125473,0.03273797407746315,0.005179204046726227,0.01960565149784088,0.027558770030736923,0.013132322579622269,-0.027558770030736923,-0.013132322579622269,30,15,0.5,run_01_s50_zero,zero,0.5
50,H,5,gnnexplainer,0.5,-0.08462868630886078,-0.05925457179546356,-0.09330057352781296,-0.06410186737775803,0.020526818931102753,0.004847295582294464,0.02919870615005493,0.025374114513397217,0.008671887218952179,-0.01567952334880829,0.008671887218952179,30,15,0.5,run_01_s50_zero,zero,0.5
50,H,6,gnnexplainer,0.5,-0.33054494857788086,-0.13265179097652435,-0.3334408104419708,-0.3011716902256012,0.029373258352279663,0.16851989924907684,0.03226912021636963,0.1978931576013565,0.002895861864089966,0.13914664089679718,0.002895861864089966,30,15,0.5,run_01_s50_zero,zero,0.5
50,H,7,gnnexplainer,0.5,-0.3257949948310852,-0.12451222538948059,-0.34452611207962036,-0.362988144159317,0.03719314932823181,0.23847591876983643,0.018462032079696655,0.20128276944160461,0.018731117248535156,0.20128276944160461,-0.018731117248535156,30,15,0.5,run_01_s50_zero,zero,0.5
50,C,0,gnnexplainer,0.5,-3.4731967449188232,-0.9307116866111755,-4.579632759094238,-3.638505220413208,0.16530847549438477,2.7077935338020325,0.9411275386810303,2.5424850583076477,1.106436014175415,2.5424850583076477,0.7758190631866455,30,15,0.5,run_01_s50_zero,zero,0.5
50,C,1,gnnexplainer,0.5,-2.626781463623047,-2.118999481201172,-2.3708715438842773,-2.7032065391540527,0.07642507553100586,0.5842070579528809,0.3323349952697754,0.507781982421875,0.25590991973876953,0.507781982421875,0.25590991973876953,30,15,0.5,run_01_s50_zero,zero,0.5
50,C,2,gnnexplainer,0.5,-2.6187326908111572,-2.3415892124176025,-2.677945137023926,-3.0836172103881836,0.46488451957702637,0.742027997970581,0.4056720733642578,0.2771434783935547,0.059212446212768555,0.2771434783935547,-0.059212446212768555,30,15,0.5,run_01_s50_zero,zero,0.5
50,C,3,gnnexplainer,0.5,-12.352452278137207,-7.797536373138428,-10.459349632263184,-11.829119682312012,0.5233325958251953,4.031583309173584,1.3697700500488281,4.554915904998779,1.8931026458740234,3.5082507133483887,0.8464374542236328,30,15,0.5,run_01_s50_zero,zero,0.5
50,C,4,gnnexplainer,0.5,-12.56570053100586,-9.879430770874023,-10.398468971252441,-12.671215057373047,0.1055145263671875,2.7917842864990234,2.2727460861206055,2.686269760131836,2.167231559753418,2.686269760131836,2.167231559753418,30,15,0.5,run_01_s50_zero,zero,0.5
50,C,5,gnnexplainer,0.5,-1.2540905475616455,-2.2248849868774414,-1.4308873414993286,-1.9315294027328491,0.6774388551712036,0.2933555841445923,0.5006420612335205,0.9707944393157959,0.1767967939376831,-0.38408327102661133,-0.1767967939376831,30,15,0.5,run_01_s50_zero,zero,0.5
170,H,0,gnnexplainer,0.5,-0.08065252006053925,-0.09815102815628052,-0.09332568943500519,-0.026961499825119972,0.05369102023541927,0.07118952833116055,0.06636418960988522,0.017498508095741272,0.012673169374465942,0.017498508095741272,0.012673169374465942,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,1,gnnexplainer,0.5,-0.08064423501491547,-0.10123526304960251,-0.06834837049245834,-0.027961499989032745,0.05268273502588272,0.07327376306056976,0.0403868705034256,0.020591028034687042,0.012295864522457123,0.020591028034687042,-0.012295864522457123,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,2,gnnexplainer,0.5,-0.08063553273677826,-0.105179063975811,-0.08495412021875381,-0.027961499989032745,0.052674032747745514,0.07721756398677826,0.05699262022972107,0.024543531239032745,0.004318587481975555,0.024543531239032745,0.004318587481975555,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,3,gnnexplainer,0.5,-0.08062697947025299,-0.11000101268291473,-0.09526057541370392,-0.026961499825119972,0.05366547964513302,0.08303951285779476,0.06829907558858395,0.029374033212661743,0.014633595943450928,0.029374033212661743,0.014633595943450928,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,4,gnnexplainer,0.5,-0.07791470736265182,-0.10508377850055695,-0.07273228466510773,-0.027961499989032745,0.04995320737361908,0.0771222785115242,0.04477078467607498,0.02716907113790512,0.005182422697544098,0.02716907113790512,-0.005182422697544098,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,5,gnnexplainer,0.5,-0.07790467888116837,-0.10624674707651138,-0.08374641090631485,-0.026961499825119972,0.05094317905604839,0.07928524725139141,0.05678491108119488,0.028342068195343018,0.005841732025146484,0.028342068195343018,0.005841732025146484,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,6,gnnexplainer,0.5,-0.07790350168943405,-0.08985598385334015,-0.08686463534832001,-0.026961499825119972,0.05094200186431408,0.06289448402822018,0.059903135523200035,0.011952482163906097,0.008961133658885956,0.011952482163906097,0.008961133658885956,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,7,gnnexplainer,0.5,-0.07790827751159668,-0.10608723759651184,-0.0653819665312767,-0.02896150015294552,0.04894677735865116,0.07712573744356632,0.036420466378331184,0.02817896008491516,0.012526310980319977,0.02817896008491516,-0.012526310980319977,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,8,gnnexplainer,0.5,-0.07964935898780823,-0.10768263041973114,-0.07576490938663483,-0.02691764011979103,0.0527317188680172,0.08076499029994011,0.048847269266843796,0.028033271431922913,0.003884449601173401,0.028033271431922913,-0.003884449601173401,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,9,gnnexplainer,0.5,-0.0796414166688919,-0.105786994099617,-0.07536964118480682,-0.025917639955878258,0.05372377671301365,0.07986935414373875,0.049452001228928566,0.026145577430725098,0.004271775484085083,0.026145577430725098,-0.004271775484085083,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,10,gnnexplainer,0.5,-0.07964157313108444,-0.10096269100904465,-0.08016645163297653,-0.025917639955878258,0.053723933175206184,0.07504505105316639,0.054248811677098274,0.021321117877960205,0.0005248785018920898,0.021321117877960205,0.0005248785018920898,42,21,0.5,run_01_s50_zero,zero,0.5
170,H,11,gnnexplainer,0.5,-0.07965811342000961,-0.10637227445840836,-0.0869104191660881,-0.02896150015294552,0.050696613267064095,0.07741077430546284,0.057948919013142586,0.026714161038398743,0.007252305746078491,0.026714161038398743,0.007252305746078491,42,21,0.5,run_01_s50_zero,zero,0.5
170,C,0,gnnexplainer,0.5,-2.0284276008605957,-2.3424365520477295,-1.9815725088119507,-2.175614595413208,0.1471869945526123,0.16682195663452148,0.19404208660125732,0.3140089511871338,0.04685509204864502,0.01963496208190918,0.04685509204864502,42,21,0.5,run_01_s50_zero,zero,0.5
170,C,1,gnnexplainer,0.5,-2.0285582542419434,-2.382601737976074,-1.7274482250213623,-2.1761586666107178,0.14760041236877441,0.20644307136535645,0.44871044158935547,0.35404348373413086,0.30111002922058105,0.05884265899658203,0.30111002922058105,42,21,0.5,run_01_s50_zero,zero,0.5
