mask_variant,sparsity_target,method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
scientific,0.5,gnnexplainer,C,72,15,3.734714228245947,3.067622081909931,72,1.224709904856152,1.2066605243671167,72,3.4538992080423565,3.0773233380688323,72,0.6550119150843885,1.049776660282101,72,0.4864370152363305,0.0006689077045488803,72
scientific,0.5,integrated_gradients,C,66,13,3.422691253550125,2.9179143501769973,66,0.1165328880376888,0.2553125598056835,66,3.076945691849246,2.965192750758761,66,0.034225417470390145,0.2762811931246512,66,0.4863907365060152,0.0006733415284356706,66
scientific,0.5,gnnexplainer,H,129,15,0.0795136282379313,0.06572595606851164,129,0.04016649697062581,0.03652037135731474,129,0.06712596184870069,0.06661479342866292,129,0.006718605608758769,0.04116154476376169,129,0.4863434522644598,0.0005949606123970052,129
scientific,0.5,integrated_gradients,H,115,13,0.06204315644243489,0.06882334757710826,115,0.001941087226504865,0.0032318651718207217,115,0.04109132565234019,0.07453930209878255,115,0.0006162880879381429,0.0037192688935318565,115,0.48628104752388013,0.000591683511978254,115
scientific,0.6,gnnexplainer,C,72,15,4.1735906302928925,3.202299234197159,72,1.9423550948914554,1.8799737622921708,72,3.8783454580439463,3.233092447597612,72,1.3160248421546485,1.5854799730140874,72,0.5803609403024775,0.0011695849470699676,72
scientific,0.6,integrated_gradients,C,66,13,3.3905721202944266,2.901320962022504,66,0.1752393374388868,0.25686474615516885,66,3.054223711291949,2.93281043299464,66,-0.00428499033053716,0.28467923003535534,66,0.5805229375414859,0.0010388726245381403,66
scientific,0.6,gnnexplainer,H,129,15,0.09439364993988081,0.0667463884886456,129,0.06555151558199594,0.0643823750889659,129,0.08424760357931603,0.06481169273422474,129,0.0178435187779598,0.05824694339388352,129,0.5802185976218994,0.0011806051493060091,129
scientific,0.6,integrated_gradients,H,115,13,0.0628318373599778,0.06905684816107348,115,0.004556323749863583,0.0065602931453371425,115,0.04157146429238112,0.07499266351575139,115,0.0011809611126132632,0.007836295516053022,115,0.580454338771162,0.0009647684511951385,115
scientific,0.7,gnnexplainer,C,72,15,4.158646593491237,3.096596460539596,72,2.1316331498738794,2.390431340915878,72,3.8854479210244284,3.1110632735606094,72,1.5145063327832355,2.1195891311631865,72,0.6947781997504401,0.0004480382726239488,72
scientific,0.7,integrated_gradients,C,66,13,3.3320947763594715,2.917511065368793,66,0.2743487899953669,0.31257844108364463,66,2.9909154795336,2.9473693037886464,66,0.012562358018123743,0.2673861766784214,66,0.6947828232868906,0.00044666428175438034,66
scientific,0.7,gnnexplainer,H,129,15,0.09003183892530989,0.06620666866795198,129,0.06934583704023398,0.057070580287410036,129,0.080209832754015,0.06411545261467763,129,0.02094542624631016,0.0554698945654048,129,0.6948815186640523,0.0004071283228635939,129
scientific,0.7,integrated_gradients,H,115,13,0.05916980343020481,0.06750617252928127,115,0.00783717956231988,0.00962054298462412,115,0.040627051857502566,0.07187451862581518,115,-0.0006411924310352491,0.01045475190452945,115,0.6948842942266634,0.0004027679624054568,115
scientific,0.8,gnnexplainer,C,72,15,3.308529794216156,2.6441000189182295,72,1.511611811299291,1.6927917376289006,72,3.0359625269969306,2.6662638363028317,72,0.9216736398844255,1.6177287451268747,72,0.7887021248165872,0.0018942602671316534,72
scientific,0.8,integrated_gradients,C,66,13,3.379821436423244,3.0271136396031997,66,0.4308398950732116,0.5119508083211508,66,3.0283055671236734,3.0845179804638096,66,0.0548773884321704,0.543257515217106,66,0.7889150243223612,0.0018341687026833626,66
scientific,0.8,gnnexplainer,H,129,15,0.06998327975125276,0.06309853384647915,129,0.05368887231678002,0.0420476450975729,129,0.060591695007196696,0.06433595793200328,129,0.005920151031987612,0.04768484226771368,129,0.7887566640214918,0.0017572280585634412,129
scientific,0.8,integrated_gradients,H,115,13,0.056499603099149205,0.06361743096566623,115,0.011322616170281949,0.012903485852485734,115,0.037829755570577536,0.06904532456362632,115,-0.0005760778551516326,0.01208263667678104,115,0.7890575854739457,0.0016191307191457738,115
scientific,0.9,gnnexplainer,C,72,15,1.7010399949633412,1.9141870914373043,72,1.7368816845119,1.9089385743863303,72,1.4124486249768071,2.024505891944279,72,1.3033883733054001,1.931006887726981,72,0.8855827405520375,0.0011891780545632406,72
scientific,0.9,integrated_gradients,C,66,13,3.041562272292195,2.6620525276221727,66,0.7171224622112332,0.8885882364590241,66,2.7150915161226736,2.7115427713187565,66,0.44565403642076434,0.8999279996205177,66,0.8857401142545951,0.0010204495455715672,66
scientific,0.9,gnnexplainer,H,129,15,0.03870195185029229,0.04057895233501859,129,0.03847779489533846,0.039884845197255415,129,0.029127645024726558,0.04005195003497406,129,0.005864732025205627,0.04691760335052463,129,0.8853370789578471,0.00123870296398113,129
scientific,0.9,integrated_gradients,H,115,13,0.04851849603912105,0.053740666581025144,115,0.017161485682363097,0.021171143426613886,115,0.03232068095518195,0.05864259863831531,115,0.0030360407479431317,0.018013956123362533,115,0.8855700445444985,0.0009848756143986703,115
zero,0.5,gnnexplainer,C,72,15,4.1774066636959715,2.917640579368283,72,1.6544614674316511,1.574088129482511,72,3.882790880070792,2.9370658159333702,72,1.0841390051775508,1.3420671034102263,72,0.4864370152363305,0.0006689077045488803,72
zero,0.5,integrated_gradients,C,66,13,3.6877167211337523,2.6166235425322477,66,0.27206237997972604,0.29789118298140566,66,3.3075328455729918,2.7247673765763096,66,0.08063284939888751,0.3855653088235178,66,0.4863907365060152,0.0006733415284356706,66
zero,0.5,gnnexplainer,H,129,15,0.09785727391293807,0.06493600840234677,129,0.04630777118510978,0.037033606912131485,129,0.08629876017108444,0.06480970802273645,129,0.009949992876499891,0.04409848996685393,129,0.4863434522644598,0.0005949606123970052,129
zero,0.5,integrated_gradients,H,115,13,0.056548206087039865,0.055561086637646556,115,0.011291419909052226,0.008336073428612954,115,0.039298591795174975,0.05969204931353468,115,0.0024334982685420823,0.012148454344440555,115,0.48628104752388013,0.000591683511978254,115
zero,0.6,gnnexplainer,C,72,15,4.619277353915903,2.9565891466839673,72,2.564840648737219,2.369265260197685,72,4.360758494171831,2.971953650283006,72,1.8974813102848,1.981235805944923,72,0.5803609403024775,0.0011695849470699676,72
zero,0.6,integrated_gradients,C,66,13,3.539105609059334,2.640889758527038,66,0.3343654715202071,0.3162840358531266,66,3.1769729821067867,2.721840571057442,66,0.04622336973746618,0.3743266138810305,66,0.5805229375414859,0.0010388726245381403,66
zero,0.6,gnnexplainer,H,129,15,0.11382208894505057,0.06676538411630376,129,0.07631051523047824,0.053852838875466914,129,0.10388634648433952,0.06497561774823778,129,0.028309981428924227,0.06155425166137933,129,0.5802185976218994,0.0011806051493060091,129
zero,0.6,integrated_gradients,H,115,13,0.05742599358377249,0.061219575901983424,115,0.015517410117646922,0.013321809322235728,115,0.03973813387362853,0.0652975744303697,115,0.005304856371620427,0.01696785879759095,115,0.580454338771162,0.0009647684511951385,115
zero,0.7,gnnexplainer,C,72,15,4.7676663183503685,2.948608339513196,72,2.429092879821029,2.1823276769419975,72,4.497423976659775,2.960078086945338,72,1.7800666055538588,1.8464574490649608,72,0.6947781997504401,0.0004480382726239488,72
zero,0.7,integrated_gradients,C,66,13,3.439028073892449,2.672099559668973,66,0.4063087266051408,0.4136856443862399,66,3.089045965761849,2.726781992100702,66,0.10207144035534425,0.3457263013610485,66,0.6947828232868906,0.00044666428175438034,66
zero,0.7,gnnexplainer,H,129,15,0.10828674691476563,0.06326966940175073,129,0.08934480971259665,0.06204201243223719,129,0.09844115798094476,0.06175424782753899,129,0.035947835430242985,0.07156015786064787,129,0.6948815186640523,0.0004071283228635939,129
zero,0.7,integrated_gradients,H,115,13,0.0561618860649026,0.06406527017848047,115,0.021014897525310515,0.015114986708686462,115,0.03836584444279256,0.06828891503163756,115,0.005260836851337681,0.02062932704668042,115,0.6948842942266634,0.0004027679624054568,115
zero,0.8,gnnexplainer,C,72,15,3.608230075902409,2.6454090005634825,72,1.7102527999215655,1.6473107392502984,72,3.3162445392873554,2.7202022822704213,72,1.0418960050576263,1.3706273679104184,72,0.7887021248165872,0.0018942602671316534,72
zero,0.8,integrated_gradients,C,66,13,3.4683893182964036,2.7798106585065945,66,0.5690949981411298,0.5686840159521197,66,3.1228889231428956,2.839989380426467,66,0.13188424367796292,0.5657534057884579,66,0.7889150243223612,0.0018341687026833626,66
zero,0.8,gnnexplainer,H,129,15,0.08641487056779307,0.06054961376473126,129,0.06668047344153241,0.053974349987985566,129,0.07670253983070684,0.06140991419464826,129,0.01977824445366282,0.05734647969922883,129,0.7887566640214918,0.0017572280585634412,129
zero,0.8,integrated_gradients,H,115,13,0.05254703478320785,0.05859473013466245,115,0.024077449900948483,0.01848875634500813,115,0.03422914095546888,0.06387861267048865,115,0.010273986342160597,0.02007183395946024,115,0.7890575854739457,0.0016191307191457738,115
zero,0.9,gnnexplainer,C,72,15,1.8436371079749532,1.9588642928681654,72,1.939236526377499,1.7063186660243452,72,1.5894315383500524,2.0477613091940823,72,1.3176073288131092,1.6770551331308106,72,0.8855827405520375,0.0011891780545632406,72
zero,0.9,integrated_gradients,C,66,13,3.1979594361601453,2.518152875507952,66,0.6774356805465438,0.7881644442233976,66,2.873525952299436,2.5774414863958675,66,0.39338130549047934,0.7259898881413048,66,0.8857401142545951,0.0010204495455715672,66
zero,0.9,gnnexplainer,H,129,15,0.04532843868630801,0.031053225751018678,129,0.043364671946958054,0.042908007016992364,129,0.03531606267242469,0.035342308006850336,129,0.01169765368103981,0.0474214326239789,129,0.8853370789578471,0.00123870296398113,129
zero,0.9,integrated_gradients,H,115,13,0.04901490872320922,0.05112702632288488,115,0.029190822496362356,0.02539397425379767,115,0.03219563760187315,0.057597425858063794,115,0.009681868294010992,0.027234394374681753,115,0.8855700445444985,0.0009848756143986703,115
