graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat,n_features_target,k_features_target,grid_run_id,mask_variant,sparsity_target_requested
50,H,0,gnnexplainer,0.5,zero,scientific,-0.18866461515426636,-0.09640348702669144,-0.23111072182655334,-0.18572446703910828,0.002940148115158081,0.08932098001241684,0.04538625478744507,0.09226112812757492,0.04244610667228699,0.08638083189725876,0.04244610667228699,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,0,integrated_gradients,0.5,zero,scientific,-0.18866461515426636,-0.1155816838145256,-0.18775123357772827,-0.18572446703910828,0.002940148115158081,0.07014278322458267,0.002026766538619995,0.07308293133974075,0.0009133815765380859,0.06720263510942459,-0.0009133815765380859,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,1,gnnexplainer,0.5,zero,scientific,-0.19408667087554932,-0.0935916006565094,-0.2116422951221466,-0.1745053380727768,0.019581332802772522,0.0809137374162674,0.03713695704936981,0.10049507021903992,0.01755562424659729,0.06133240461349487,0.01755562424659729,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,1,integrated_gradients,0.5,zero,scientific,-0.19408667087554932,-0.12682494521141052,-0.18804562091827393,-0.1745053380727768,0.019581332802772522,0.04768039286136627,0.013540282845497131,0.0672617256641388,0.006041049957275391,0.02809906005859375,-0.006041049957275391,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,2,gnnexplainer,0.5,zero,scientific,-0.13721123337745667,-0.06114999204874039,-0.2125706970691681,-0.1240059956908226,0.013205237686634064,0.06285600364208221,0.08856470137834549,0.07606124132871628,0.07535946369171143,0.04965076595544815,0.07535946369171143,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,2,integrated_gradients,0.5,zero,scientific,-0.13721123337745667,-0.1289764791727066,-0.15830162167549133,-0.1240059956908226,0.013205237686634064,0.004970483481884003,0.03429562598466873,0.008234754204750061,0.021090388298034668,-0.008234754204750061,0.021090388298034668,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,3,gnnexplainer,0.5,zero,scientific,-0.06269896030426025,-0.16958236694335938,-0.03264191746711731,-0.029461706057190895,0.03323725424706936,0.14012066088616848,0.0031802114099264145,0.10688340663909912,0.030057042837142944,0.10688340663909912,-0.030057042837142944,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,3,integrated_gradients,0.5,zero,scientific,-0.06269896030426025,-0.11536190658807755,-0.07079411298036575,-0.029461706057190895,0.03323725424706936,0.08590020053088665,0.04133240692317486,0.05266294628381729,0.0080951526761055,0.05266294628381729,0.0080951526761055,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,4,gnnexplainer,0.5,zero,scientific,-0.05592544749379158,-0.039075203239917755,-0.13873830437660217,-0.08866342157125473,0.03273797407746315,0.049588218331336975,0.05007488280534744,0.016850244253873825,0.08281285688281059,0.016850244253873825,0.017336908727884293,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,4,integrated_gradients,0.5,zero,scientific,-0.05592544749379158,-0.11536190658807755,-0.06199117749929428,-0.08866342157125473,0.03273797407746315,0.026698485016822815,0.02667224407196045,0.059436459094285965,0.006065730005502701,-0.006039489060640335,-0.006065730005502701,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,5,gnnexplainer,0.5,zero,scientific,-0.08462868630886078,-0.16664227843284607,-0.01599292829632759,-0.06410186737775803,0.020526818931102753,0.10254041105508804,0.048108939081430435,0.08201359212398529,0.06863575801253319,0.08201359212398529,0.027582120150327682,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,5,integrated_gradients,0.5,zero,scientific,-0.08462868630886078,-0.13417759537696838,-0.10468821227550507,-0.06410186737775803,0.020526818931102753,0.07007572799921036,0.04058634489774704,0.049548909068107605,0.020059525966644287,0.049548909068107605,0.020059525966644287,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,6,gnnexplainer,0.5,zero,scientific,-0.33054494857788086,-0.06434109061956406,-0.4554876387119293,-0.3011716902256012,0.029373258352279663,0.23683059960603714,0.15431594848632812,0.2662038579583168,0.12494269013404846,0.20745734125375748,0.12494269013404846,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,6,integrated_gradients,0.5,zero,scientific,-0.33054494857788086,-0.13381662964820862,-0.321431428194046,-0.3011716902256012,0.029373258352279663,0.16735506057739258,0.020259737968444824,0.19672831892967224,0.009113520383834839,0.13798180222511292,-0.009113520383834839,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,7,gnnexplainer,0.5,zero,scientific,-0.3257949948310852,-0.10178353637456894,-0.5645802617073059,-0.362988144159317,0.03719314932823181,0.2612046077847481,0.2015921175479889,0.22401145845651627,0.2387852668762207,0.22401145845651627,0.16439896821975708,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,H,7,integrated_gradients,0.5,zero,scientific,-0.3257949948310852,-0.13605812191963196,-0.3274518847465515,-0.362988144159317,0.03719314932823181,0.22693002223968506,0.0355362594127655,0.18973687291145325,0.0016568899154663086,0.18973687291145325,-0.0016568899154663086,498,256,0.48594377510040165,33,17,run_01_s50_zero,zero,0.5
50,C,0,gnnexplainer,0.5,zero,scientific,-3.4731967449188232,-3.3859939575195312,-6.014594554901123,-3.638505220413208,0.16530847549438477,0.25251126289367676,2.376089334487915,0.08720278739929199,2.5413978099823,0.08720278739929199,2.2107808589935303,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,0,integrated_gradients,0.5,zero,scientific,-3.4731967449188232,-5.728161334991455,-3.0677711963653564,-3.638505220413208,0.16530847549438477,2.089656114578247,0.5707340240478516,2.254964590072632,0.4054255485534668,1.9243476390838623,0.4054255485534668,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
50,C,1,gnnexplainer,0.5,zero,scientific,-2.626781463623047,-2.165006160736084,-6.195745944976807,-2.7032065391540527,0.07642507553100586,0.5382003784179688,3.492539405822754,0.4617753028869629,3.5689644813537598,0.4617753028869629,3.416114330291748,498,256,0.48594377510040165,39,20,run_01_s50_zero,zero,0.5
