graph_idx,node_type,node_idx,method,sparsity_target,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_edges_considered,k_edges,actual_sparsity_edge
50,H,0,gnnexplainer,0.8,-0.18866461515426636,-0.06349052488803864,-0.18829847872257233,-0.18572446703910828,0.002940148115158081,0.12223394215106964,0.0025740116834640503,0.12517409026622772,0.00036613643169403076,0.11929379403591156,-0.00036613643169403076,30,6,0.8
50,H,1,gnnexplainer,0.8,-0.19408667087554932,-0.06680552661418915,-0.2095201015472412,-0.1745053380727768,0.019581332802772522,0.10769981145858765,0.035014763474464417,0.12728114426136017,0.015433430671691895,0.08811847865581512,0.015433430671691895,30,6,0.8
50,H,2,gnnexplainer,0.8,-0.13721123337745667,-0.13360601663589478,-0.10512404888868332,-0.1240059956908226,0.013205237686634064,0.009600020945072174,0.018881946802139282,0.0036052167415618896,0.032087184488773346,-0.0036052167415618896,0.0056767091155052185,30,6,0.8
50,H,3,gnnexplainer,0.8,-0.06269896030426025,-0.0634133517742157,-0.042105235159397125,-0.029461706057190895,0.03323725424706936,0.0339516457170248,0.01264352910220623,0.0007143914699554443,0.02059372514486313,0.0007143914699554443,-0.02059372514486313,30,6,0.8
50,H,4,gnnexplainer,0.8,-0.05592544749379158,-0.08704143762588501,-0.12048670649528503,-0.08866342157125473,0.03273797407746315,0.0016219839453697205,0.031823284924030304,0.03111599013209343,0.06456125900149345,-0.03111599013209343,-0.0009146891534328461,30,6,0.8
50,H,5,gnnexplainer,0.8,-0.08462868630886078,-0.1188264712691307,-0.1034717857837677,-0.06410186737775803,0.020526818931102753,0.05472460389137268,0.039369918406009674,0.03419778496026993,0.01884309947490692,0.03419778496026993,0.01884309947490692,30,6,0.8
50,H,6,gnnexplainer,0.8,-0.33054494857788086,-0.13767075538635254,-0.299053430557251,-0.3011716902256012,0.029373258352279663,0.16350093483924866,0.0021182596683502197,0.19287419319152832,0.03149151802062988,0.134127676486969,-0.027254998683929443,30,6,0.8
50,H,7,gnnexplainer,0.8,-0.3257949948310852,-0.14362980425357819,-0.30244019627571106,-0.362988144159317,0.03719314932823181,0.21935833990573883,0.06054794788360596,0.18216519057750702,0.023354798555374146,0.18216519057750702,0.023354798555374146,30,6,0.8
50,C,0,gnnexplainer,0.8,-3.4731967449188232,-1.0503818988800049,-4.254120349884033,-3.638505220413208,0.16530847549438477,2.588123321533203,0.6156151294708252,2.4228148460388184,0.78092360496521,2.4228148460388184,0.45030665397644043,30,6,0.8
50,C,1,gnnexplainer,0.8,-2.626781463623047,-2.594371795654297,-1.163383960723877,-2.7032065391540527,0.07642507553100586,0.10883474349975586,1.5398225784301758,0.03240966796875,1.46339750289917,0.03240966796875,1.46339750289917,30,6,0.8
50,C,2,gnnexplainer,0.8,-2.6187326908111572,-1.7681829929351807,-1.846004605293274,-3.0836172103881836,0.46488451957702637,1.315434217453003,1.2376126050949097,0.8505496978759766,0.7727280855178833,0.8505496978759766,0.7727280855178833,30,6,0.8
50,C,3,gnnexplainer,0.8,-12.352452278137207,-10.14731502532959,-11.242538452148438,-11.829119682312012,0.5233325958251953,1.6818046569824219,0.5865812301635742,2.205137252807617,1.1099138259887695,1.1584720611572266,0.0632486343383789,30,6,0.8
50,C,4,gnnexplainer,0.8,-12.56570053100586,-10.938302993774414,-10.445671081542969,-12.671215057373047,0.1055145263671875,1.7329120635986328,2.225543975830078,1.6273975372314453,2.1200294494628906,1.6273975372314453,2.1200294494628906,30,6,0.8
50,C,5,gnnexplainer,0.8,-1.2540905475616455,-2.6785693168640137,-0.7501853704452515,-1.9315294027328491,0.6774388551712036,0.7470399141311646,1.1813440322875977,1.4244787693023682,0.503905177116394,0.06960105895996094,0.503905177116394,30,6,0.8
170,H,0,gnnexplainer,0.8,-0.08065252006053925,-0.08307650685310364,-0.09161993861198425,-0.026961499825119972,0.05369102023541927,0.056115007027983665,0.06465843878686428,0.002423986792564392,0.010967418551445007,0.002423986792564392,0.010967418551445007,42,9,0.7857142857142857
170,H,1,gnnexplainer,0.8,-0.08064423501491547,-0.0979655459523201,-0.09243233501911163,-0.027961499989032745,0.05268273502588272,0.07000404596328735,0.06447083503007889,0.017321310937404633,0.011788100004196167,0.017321310937404633,0.011788100004196167,42,9,0.7857142857142857
