graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat,n_features_target,k_features_target
50,H,0,gnnexplainer,0.8,match_ig_baseline,scientific,-0.18866461515426636,-0.06481444835662842,-0.24321013689041138,-0.18572446703910828,0.002940148115158081,0.12091001868247986,0.0574856698513031,0.12385016679763794,0.05454552173614502,0.11796987056732178,0.05454552173614502,498,104,0.7911646586345382,33,7
50,H,0,integrated_gradients,0.8,match_ig_baseline,scientific,-0.18866461515426636,-0.1031264066696167,-0.17429065704345703,-0.18572446703910828,0.002940148115158081,0.08259806036949158,0.011433809995651245,0.08553820848464966,0.014373958110809326,0.0796579122543335,0.008493661880493164,498,104,0.7911646586345382,33,7
50,H,1,gnnexplainer,0.8,match_ig_baseline,scientific,-0.19408667087554932,-0.07089035212993622,-0.2068270444869995,-0.1745053380727768,0.019581332802772522,0.10361498594284058,0.03232170641422272,0.1231963187456131,0.012740373611450195,0.08403365314006805,0.012740373611450195,498,104,0.7911646586345382,33,7
50,H,1,integrated_gradients,0.8,match_ig_baseline,scientific,-0.19408667087554932,-0.11197397112846375,-0.17876514792442322,-0.1745053380727768,0.019581332802772522,0.06253136694431305,0.004259809851646423,0.08211269974708557,0.015321522951126099,0.04295003414154053,-0.015321522951126099,498,104,0.7911646586345382,33,7
50,H,2,gnnexplainer,0.8,match_ig_baseline,scientific,-0.13721123337745667,-0.06923802196979523,-0.1511409878730774,-0.1240059956908226,0.013205237686634064,0.054767973721027374,0.02713499218225479,0.06797321140766144,0.013929754495620728,0.04156273603439331,0.013929754495620728,498,104,0.7911646586345382,33,7
50,H,2,integrated_gradients,0.8,match_ig_baseline,scientific,-0.13721123337745667,-0.11353378742933273,-0.11573476344347,-0.1240059956908226,0.013205237686634064,0.010472208261489868,0.0082712322473526,0.023677445948123932,0.021476469933986664,-0.0027330294251441956,-0.004934005439281464,498,104,0.7911646586345382,33,7
50,H,3,gnnexplainer,0.8,match_ig_baseline,scientific,-0.06269896030426025,-0.1005440205335617,-0.05573830381035805,-0.029461706057190895,0.03323725424706936,0.07108231447637081,0.026276597753167152,0.03784506022930145,0.006960656493902206,0.03784506022930145,-0.006960656493902206,498,104,0.7911646586345382,33,7
50,H,3,integrated_gradients,0.8,match_ig_baseline,scientific,-0.06269896030426025,-0.07473906874656677,-0.064674973487854,-0.029461706057190895,0.03323725424706936,0.04527736268937588,0.03521326743066311,0.012040108442306519,0.00197601318359375,0.012040108442306519,0.00197601318359375,498,104,0.7911646586345382,33,7
50,H,4,gnnexplainer,0.8,match_ig_baseline,scientific,-0.05592544749379158,-0.02627129852771759,-0.17041513323783875,-0.08866342157125473,0.03273797407746315,0.06239212304353714,0.08175171166658401,0.02965414896607399,0.11448968574404716,0.02965414896607399,0.049013737589120865,498,104,0.7911646586345382,33,7
50,H,4,integrated_gradients,0.8,match_ig_baseline,scientific,-0.05592544749379158,-0.08563512563705444,-0.062742680311203,-0.08866342157125473,0.03273797407746315,0.003028295934200287,0.025920741260051727,0.029709678143262863,0.006817232817411423,-0.029709678143262863,-0.006817232817411423,498,104,0.7911646586345382,33,7
50,H,5,gnnexplainer,0.8,match_ig_baseline,scientific,-0.08462868630886078,-0.19938373565673828,-0.029241465032100677,-0.06410186737775803,0.020526818931102753,0.13528186827898026,0.03486040234565735,0.1147550493478775,0.0553872212767601,0.1147550493478775,0.014333583414554596,498,104,0.7911646586345382,33,7
50,H,5,integrated_gradients,0.8,match_ig_baseline,scientific,-0.08462868630886078,-0.09728505462408066,-0.07545213401317596,-0.06410186737775803,0.020526818931102753,0.03318318724632263,0.011350266635417938,0.01265636831521988,0.009176552295684814,0.01265636831521988,-0.009176552295684814,498,104,0.7911646586345382,33,7
50,H,6,gnnexplainer,0.8,match_ig_baseline,scientific,-0.33054494857788086,-0.13204629719257355,-0.3001148998737335,-0.3011716902256012,0.029373258352279663,0.16912539303302765,0.0010567903518676758,0.1984986513853073,0.03043004870414734,0.13975213468074799,-0.028316468000411987,498,104,0.7911646586345382,33,7
50,H,6,integrated_gradients,0.8,match_ig_baseline,scientific,-0.33054494857788086,-0.12276427447795868,-0.30589792132377625,-0.3011716902256012,0.029373258352279663,0.17840741574764252,0.004726231098175049,0.20778067409992218,0.024647027254104614,0.14903415739536285,-0.024647027254104614,498,104,0.7911646586345382,33,7
50,H,7,gnnexplainer,0.8,match_ig_baseline,scientific,-0.3257949948310852,-0.15103471279144287,-0.29892000555992126,-0.362988144159317,0.03719314932823181,0.21195343136787415,0.06406813859939575,0.17476028203964233,0.02687498927116394,0.17476028203964233,0.02687498927116394,498,104,0.7911646586345382,33,7
50,H,7,integrated_gradients,0.8,match_ig_baseline,scientific,-0.3257949948310852,-0.0967620462179184,-0.3016894459724426,-0.362988144159317,0.03719314932823181,0.2662260979413986,0.06129869818687439,0.2290329486131668,0.024105548858642578,0.2290329486131668,0.024105548858642578,498,104,0.7911646586345382,33,7
50,C,0,gnnexplainer,0.8,match_ig_baseline,scientific,-3.4731967449188232,-2.561241626739502,-6.2975239753723145,-3.638505220413208,0.16530847549438477,1.077263593673706,2.6590187549591064,0.9119551181793213,2.824327230453491,0.9119551181793213,2.4937102794647217,498,104,0.7911646586345382,39,8
50,C,0,integrated_gradients,0.8,match_ig_baseline,scientific,-3.4731967449188232,-4.68946647644043,-3.1172804832458496,-3.638505220413208,0.16530847549438477,1.0509612560272217,0.5212247371673584,1.2162697315216064,0.35591626167297363,0.8856527805328369,0.35591626167297363,498,104,0.7911646586345382,39,8
50,C,1,gnnexplainer,0.8,match_ig_baseline,scientific,-2.626781463623047,-5.579675197601318,-2.7458724975585938,-2.7032065391540527,0.07642507553100586,2.8764686584472656,0.042665958404541016,2.9528937339782715,0.11909103393554688,2.8000435829162598,-0.033759117126464844,498,104,0.7911646586345382,39,8
50,C,1,integrated_gradients,0.8,match_ig_baseline,scientific,-2.626781463623047,-4.963115215301514,-2.2319369316101074,-2.7032065391540527,0.07642507553100586,2.259908676147461,0.4712696075439453,2.336333751678467,0.39484453201293945,2.183483600616455,0.39484453201293945,498,104,0.7911646586345382,39,8
50,C,2,gnnexplainer,0.8,match_ig_baseline,scientific,-2.6187326908111572,-1.4314128160476685,-4.887857913970947,-3.0836172103881836,0.46488451957702637,1.6522043943405151,1.8042407035827637,1.1873198747634888,2.26912522315979,1.1873198747634888,1.3393561840057373,498,104,0.7911646586345382,39,8
50,C,2,integrated_gradients,0.8,match_ig_baseline,scientific,-2.6187326908111572,-4.4750142097473145,-2.4539427757263184,-3.0836172103881836,0.46488451957702637,1.3913969993591309,0.6296744346618652,1.8562815189361572,0.16478991508483887,0.9265124797821045,0.16478991508483887,498,104,0.7911646586345382,39,8
50,C,3,gnnexplainer,0.8,match_ig_baseline,scientific,-12.352452278137207,-6.936491966247559,-8.287215232849121,-11.829119682312012,0.5233325958251953,4.892627716064453,3.5419044494628906,5.415960311889648,4.065237045288086,4.369295120239258,3.0185718536376953,498,104,0.7911646586345382,39,8
50,C,3,integrated_gradients,0.8,match_ig_baseline,scientific,-12.352452278137207,-4.761012554168701,-10.124432563781738,-11.829119682312012,0.5233325958251953,7.0681071281433105,1.7046871185302734,7.591439723968506,2.2280197143554688,6.544774532318115,1.1813545227050781,498,104,0.7911646586345382,39,8
50,C,4,gnnexplainer,0.8,match_ig_baseline,scientific,-12.56570053100586,-7.020498752593994,-9.227396011352539,-12.671215057373047,0.1055145263671875,5.650716304779053,3.443819046020508,5.545201778411865,3.3383045196533203,5.545201778411865,3.3383045196533203,498,104,0.7911646586345382,39,8
50,C,4,integrated_gradients,0.8,match_ig_baseline,scientific,-12.56570053100586,-4.876320838928223,-11.555146217346191,-12.671215057373047,0.1055145263671875,7.794894218444824,1.1160688400268555,7.689379692077637,1.010554313659668,7.689379692077637,1.010554313659668,498,104,0.7911646586345382,39,8
50,C,5,gnnexplainer,0.8,match_ig_baseline,scientific,-1.2540905475616455,-6.25132417678833,-0.9653167128562927,-1.9315294027328491,0.6774388551712036,4.319794774055481,0.9662126898765564,4.997233629226685,0.2887738347053528,3.6423559188842773,0.2887738347053528,498,104,0.7911646586345382,39,8
50,C,5,integrated_gradients,0.8,match_ig_baseline,scientific,-1.2540905475616455,-4.449497699737549,-1.2744375467300415,-1.9315294027328491,0.6774388551712036,2.5179682970046997,0.6570918560028076,3.1954071521759033,0.020346999168395996,1.840529441833496,-0.020346999168395996,498,104,0.7911646586345382,39,8
170,H,0,gnnexplainer,0.8,match_ig_baseline,scientific,-0.08065252006053925,-0.10673587769269943,-0.032153692096471786,-0.026961499825119972,0.05369102023541927,0.07977437786757946,0.005192192271351814,0.026083357632160187,0.04849882796406746,0.026083357632160187,-0.04849882796406746,662,140,0.7885196374622356,33,7
