method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,2,1,4.44426703453064,3.9759628772735596,2,1.1097968816757202,0.24043691158294678,2,3.9209344387054443,3.4526302814483643,2,0.9444884061813354,0.07512843608856201,2,0.48594377510040165,0.0,2
integrated_gradients,C,2,1,4.929226756095886,3.189466118812561,2,0.3019922971725464,0.2571831941604614,2,4.240585684776306,2.8314419984817505,2,-0.2661494016647339,0.22134029865264893,2,0.48594377510040165,0.0,2
gnnexplainer,H,2,1,0.265143359079957,0.004435846582055092,2,0.11025312542915344,0.027937322854995728,2,0.23577010072767735,0.02493741177022457,2,0.07305997610092163,0.06513047218322754,2,0.48594377510040165,0.0,2
integrated_gradients,H,2,1,0.24220360442996025,0.0054308585822582245,2,0.002251669764518738,0.0022052377462387085,2,0.2128303460776806,0.03480411693453789,2,0.002251669764518738,0.0022052377462387085,2,0.48594377510040165,0.0,2
