method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,66,13,4.214099375135971,3.2902106234885378,66,2.033916297961365,1.9280373101439303,66,3.904643191081105,3.3159621024733634,66,1.4139508426640972,1.5951522161898302,66,0.5805229375414859,0.0010388726245381403,66
integrated_gradients,C,66,13,3.3905721202944266,2.901320962022504,66,0.1752393374388868,0.25686474615516885,66,3.054223711291949,2.93281043299464,66,-0.00428499033053716,0.28467923003535534,66,0.5805229375414859,0.0010388726245381403,66
gnnexplainer,H,115,13,0.09795840398772904,0.06890184563967466,115,0.06634512909728547,0.06705510617671176,115,0.0883410020366959,0.0669093201096978,115,0.020113448114336834,0.06028596634084674,115,0.580454338771162,0.0009647684511951385,115
integrated_gradients,H,115,13,0.0628318373599778,0.06905684816107348,115,0.004556323749863583,0.0065602931453371425,115,0.04157146429238112,0.07499266351575139,115,0.0011809611126132632,0.007836295516053022,115,0.580454338771162,0.0009647684511951385,115
