method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
gnnexplainer,C,72,15,4.1735906302928925,3.202299234197159,72,1.9423550948914554,1.8799737622921708,72,3.8783454580439463,3.233092447597612,72,1.3160248421546485,1.5854799730140874,72,0.5803609403024775,0.0011695849470699676,72
integrated_gradients,C,66,13,3.3905721202944266,2.901320962022504,66,0.1752393374388868,0.25686474615516885,66,3.054223711291949,2.93281043299464,66,-0.00428499033053716,0.28467923003535534,66,0.5805229375414859,0.0010388726245381403,66
gnnexplainer,H,129,15,0.09439364993988081,0.0667463884886456,129,0.06555151558199594,0.0643823750889659,129,0.08424760357931603,0.06481169273422474,129,0.0178435187779598,0.05824694339388352,129,0.5802185976218994,0.0011806051493060091,129
integrated_gradients,H,115,13,0.0628318373599778,0.06905684816107348,115,0.004556323749863583,0.0065602931453371425,115,0.04157146429238112,0.07499266351575139,115,0.0011809611126132632,0.007836295516053022,115,0.580454338771162,0.0009647684511951385,115
