run_id                          , seed, method              , target, status, error, wandb_error, project                          , run_name, selected_item_count, selected_dim_H, selected_dim_C, selected_dim_Others, in_dim_H, in_dim_C, in_dim_Others, best_epoch, best_val_score    , test_mse_H        , test_mae_H         , test_mse_C        , test_mae_C        , mad_H              , mad_C             , mad_primary        , mad_count_H, mad_count_C,run_id,seed,method,target,status,error,wandb_error,project,run_name,selected_item_count,selected_dim_H,selected_dim_C,selected_dim_Others,in_dim_H,in_dim_C,in_dim_Others,best_epoch,best_val_score,test_mse_H,test_mae_H,test_mse_C,test_mae_C,mad_H,mad_C,mad_primary,mad_count_H,mad_count_C
ablation__H__seed103            ,103.0, ablation            , H     , ok    ,      ,            , gnn_topk_ablation_103            , H_topk  ,16.0,7.0,9.0,0.0,7.0,9.0,1.0,44.0,0.4359351755492389,0.0030209382554555,0.0412485193150738,2.6577050227671863,1.0978323258459568,0.0399962802345936,1.0938708426735615,0.0399962802345936,910.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ablation__C__seed103,103.0,ablation,C,ok,,,gnn_topk_ablation_103,C_topk,16.0,6.0,6.0,16.0,6.0,6.0,16.0,32.0,0.3717705145850777,0.0036143286716348,0.0456593630835413,1.2883314565444983,0.7761022773881753,0.044298443198204,0.7931427155841481,0.7931427155841481,910.0,550.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,random__H__seed103,103.0,random,H,ok,,,gnn_topk_random_103,H_topk,14.0,6.0,8.0,0.0,6.0,8.0,1.0,32.0,0.3865213507972658,0.0035099962891157,0.0442155320507784,1.164466551442941,0.814341439306736,0.0434688576302685,0.8124594419652765,0.0434688576302685,910.0,550.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,random__C__seed103,103.0,random,C,ok,,,gnn_topk_random_103,C_topk,14.0,3.0,10.0,1.0,3.0,10.0,1.0,23.0,0.37559993118047713,0.003248281005168489,0.0406715893962731,1.1982338481893142,0.7587225988507271,0.039833731310708186,0.7788516100970182,0.7788516100970182,910.0,550.0
